Key	Content	Handle
LLWEAPONEX_CombatLog_StealSuccess	<font color='#00FF00'>[1] stole </font><font color='#00FFAA'>[2]</font><font color='#00FF00'> from [3]!</font>	h9f7d431dg1f6dg494dg89b8g4cb4b98994d4
LLWEAPONEX_CombatLog_StealFailed	<font color='#FF0000'>[1] failed to steal anything from [2].</font>	hade2f718gb41dg427cg81c8gff64a36ad95f
LLWEAPONEX_CombatLog_StealLimitReached	<font color='#FF0000'>[1] attempted to steal from [2], but they have nothing left.</font>	h62e44d39gae88g4785g9004g79e396516ee4
LLWEAPONEX_CombatLog_MasteryRankUp	<font color='#EBC808'>[1] unlocked [2] Mastery Rank [3].</font>	he0cceb33g75ddg44a5g94b4geda5fd12c886
LLWEAPONEX_CombatLog_BasilusDaggerHauntedDamage	<font color='#CC00FF'>[1] was haunted by the Blade of Basilus!</font>	h1ba91504g8197g442dg8726g1b49470e8cdd
LLWEAPONEX_CombatLog_DeathEdgeBonus	<font color='#CC33FF'>[Key:WPN_UNIQUE_LLWEAPONEX_Scythe_2H_DeathEdge_A_DisplayName] twists the recently slain [1], summoning a <font color='#FFFFFF'>[Handle:h6c54e8d7ga720g4c4egbb14gdd9be6d1e198:Bone Totem]</font>.</font>	ha2fbf8c5g3500g42d4ga21bg5e4524eae598
LLWEAPONEX_CombatLog_StillStanceEnabled	<font color='#99FF22'>[1] is in a Still Stance ([2]).</font>	h0f4c3d9fgf39fg49b8gbf42g3fcb4e3543c5
LLWEAPONEX_CombatLog_Axe_DisabledBonus	<font color='#F5785A'>Axe Mastery 1:</font> [1] dealt bonus damage to [2] ([3] 'disabled' bonus damage).	h751dbb19g87f6g4332g9b4fg605ac059a2f1
LLWEAPONEX_CombatLog_BattleBook_ChallengeWon	<font color='#F5785A'>Battle Book Mastery 3:</font> [1] challenged [2] and won, and was granted the skillbook '[3]'.	h8f1bba5agfa63g4076gbf1egb46421a6b07d
LLWEAPONEX_CombatLog_BattleBook_ChallengeWonNoSkills	<font color='#F5785A'>Battle Book Mastery 3:</font> [1] challenged [2] and won, and was granted gold as a reward (target has no skills).	h395a71ddg6b03g49ccg9974g98ecb3529cac
LLWEAPONEX_CombatLog_SoulBountyLost	[1] died and lost their [2] bonus.	heb1513e4g79dfg4125g970eg845e351d3843
