Key	Content	Handle
LLWEAPONEX_Override_TagRequirement		h67e90c1eg8eefg4313ga2efg34d42f163756
LLWEAPONEX_Override_WeaponType_Spear	Polearm	h45830ff5g54bdg4098g9395gede7110cf8f1
LLWEAPONEX_Override_WeaponType_Dagger1	Blade	hd6d18316gbc8bg400bga46eg18cd9f4185ee
LLWEAPONEX_Override_WeaponType_Dagger2	Blade	h6e21af89g96d5g4826ga11ag8688bee4a5f7
LLWEAPONEX_Override_Backstab	Can Backstab	h71eeb1baga7ddg4719gb91cg1a500c7dbe74
LLWEAPONEX_Override_RotDamage1	shadow damage	h256557fbg1d49g45d9g8690gb86b39d2a135
LLWEAPONEX_Override_RotDamage2	shadow	h168f52b6g342ag42e0g99d0g47d94b7363c8
LLWEAPONEX_Override_RotDamage3	Shadow	hf4632a8fg42a7g4d53gbe26gd203f28e3d5e
LLWEAPONEX_Override_CorrosiveDamage1	[1] Corrosive Damage	h4b681e66gd563g43abg892fg376ffaa37132
LLWEAPONEX_Override_CorrosiveDamage2	Corrosive	hcbe11fb4g22adg4b10g938bg467f8c41107c
LLWEAPONEX_Override_CorrosiveDamage3	corrosive damage	h161d5479g06d6g408egade2g37a203e3361f
LLWEAPONEX_Override_MagicDamage1	[1] Magic Damage	h7656635fg959dg4396ga8bfgfc35e70f828f
LLWEAPONEX_Override_MagicDamage2	Magic	hd01e5f46g36d4g48f5g8550gabdc4bef1f04
LLWEAPONEX_Override_MagicDamage3	magic damage	hdb4307b4g1a6fg4c05g9602g6a4a6e7a29d9
LLWEAPONEX_Override_ExplodeTooltip	Applies additional effects on hit	h899607bagd698g474bg9ae1g92742a70cf36
LLWEAPONEX_Override_StatusApplySet	[1][2][3]	h233bf83cg2204g4f14gb46agad27f95deb43
LLWEAPONEX_Override_StatusApplyTurnsSet	Set [1] for [4] turn(s) [2][3]	hf90daa3cgba5cg471cgbebcgedb58a337a9f
LLWEAPONEX_Override_StatusApplyChance	([1]% Chance)	h54e0b91cg48a7g4d5agaedcgbde756a109ea
LLWEAPONEX_Override_FumbleText		ha0eca831g2e16g463fgb80fg09f33092c2ee
LLWEAPONEX_Override_EmptySlot	Empty Slot	h192a08b3gd474g4dacg85bagc0ce5e0e27e4
LLWEAPONEX_Override_Charges1	Charges Depleted&lt;br&gt;	hd5f94f7eg6557g45cdg835ege011e66a3a3a
LLWEAPONEX_Override_Charges2	Charges Depleted&lt;br&gt;	hf0293ca3g9022g4181gb4beg5f614e846c69
LLWEAPONEX_Override_Charges3	Charges Depleted	h89dbdaf9g61bdg4246g82fag8e432a286751
LLWEAPONEX_Override_NumberOfUses	Charges	h7da39b62gdaedg4565gbe58gc2e702a725ee
LLWEAPONEX_Override_Failed	Failed	hf57cf9d1g0722g43adga71cg461cb1a54cdd
LLWEAPONEX_Override_SkillScalingText1	Damage is based on your level and scales with [1].	h71b09f9fg285fg4532gab16g1c7640864141
LLWEAPONEX_Override_SkillScalingText2	Damage is based on your basic attack and scales with [1].	ha4cfd852g52f1g4079g8919gd392ac8ade1a
