Key	Content	Handle
ARM_LLWEAPONEX_HandCrossbow_A_1_DisplayName	Arm-Mounted Crossbow	h1a427f46gffe1g479eg802dgc6fec0a14659
ARM_LLWEAPONEX_HandCrossbow_A_2_DisplayName	Magical Arm-Mounted Crossbow	h6e8bf4fdgd720g43adg878ag75aff041a469
ARM_LLWEAPONEX_HandCrossbow_A_Crafted_DisplayName	Arm-Mounted Crossbow	hbab6a799g391fg4efcg89dcg7c08d0cbdd5a
ARM_LLWEAPONEX_Hat_Bicorne_A_1_DisplayName	Captain's Bicorne	h6f080319gd171g43e3gaa17gc7b1d244ce0c
ARM_LLWEAPONEX_Hat_Bicorne_A_2_DisplayName	Pirate's Bicorne	h4be9e86ega096g4abdg93b1g2c1f759cd9ad
ARM_LLWEAPONEX_Hat_Bicorne_A_3_DisplayName	Bicorne of Booty Bay	hb829614dge633g41ceg858eg09179a7bbf50
ARM_LLWEAPONEX_Hat_Bicorne_A_4_DisplayName	Bicorne of the Seas	h6de80073g8e7dg4e1bg99a8g8de5ba3c6462
ARM_LLWEAPONEX_Pistol_A_Common_DisplayName	Old Flintlock Pistol	h10d0ca08gc1f7g4adegb98fg8244438216a0
ARM_LLWEAPONEX_Pistol_A_Crafted_DisplayName	Flintlock Pistol	h4bce8cb4g4e82g4de5ga00cg1d7b76711ea5
ARM_LLWEAPONEX_Pistol_A_Divine_DisplayName	Divine Peacekeeper	hb0407051gc342g4572g826ag2df2eb0806fc
ARM_LLWEAPONEX_Pistol_A_Epic_1_DisplayName	Glorious Handcannon	h5d8a154eg64b7g4355g97abgb77587ce2898
ARM_LLWEAPONEX_Pistol_A_Epic_2_DisplayName	Dwarven Peacekeeper	h25ea9eedg7c30g4ef7g8b8cg9e8f902cd086
ARM_LLWEAPONEX_Pistol_A_Epic_3_DisplayName	Blackpowder	hce89e22ag5bfeg4d7agbe3age02597651a00
ARM_LLWEAPONEX_Pistol_A_Legendary_DisplayName	Blackbeard's Reign	he1da052dg04f2g4e6bgaa34gf4c0171d6d91
ARM_LLWEAPONEX_Pistol_A_Rare_1_DisplayName	Speedy Solution	h89e15aafg8ef3g47c5g868ag5195ade0519b
ARM_LLWEAPONEX_Pistol_A_Rare_2_DisplayName	Captain's Inspiration	h5d896d52ge61cg4bb3ga98eg4bd8b8600800
ARM_LLWEAPONEX_Pistol_A_Rare_3_DisplayName	Pirate's Wit	hae9f460bg62dcg4bd7g9242gb20cf29add61
ARM_LLWEAPONEX_Pistol_A_Uncommon_1_DisplayName	Exquisite Flintlock Pistol	haad8a4a6gd99bg4088g814fg2b2fb8077c43
ARM_LLWEAPONEX_Pistol_A_Uncommon_2_DisplayName	Polished Flintlock Pistol	hc0ccbb1cgca5dg457cg9dc0gedc74a1982cb
ARM_LLWEAPONEX_Pistol_A_Uncommon_3_DisplayName	Trusty Flintlock Pistol	hb7e57b16g1189g4068ga78dge9d8665c1127
ARM_LLWEAPONEX_Pistol_A_Uncommon_4_DisplayName	Tuned Flintlock Pistol	h5047443fg5e5dg4a8bg82e0gafc574d222f4
ARM_LLWEAPONEX_Pistol_A_Uncommon_5_DisplayName	Brigand's Flintlock Pistol	hae2bdf80gccebg471bg991eg7f4cbd5a7e10
ARM_UNIQUE_LLWEAPONEX_ArmCannon_A_DisplayName	Runic Cannon	hac1d019cg6f2ag4391g95dfg65edfb7d60b1
ARM_UNIQUE_LLWEAPONEX_Backpack_Demolition_A_DisplayName	Demolitionist's Backpack	he24e735fgcbe6g422agb0bagf43f654f6e1e
