Key	Content	Handle
AXE_2H_ALLIN	Piercing All In	hdee693fcg9b15g4962g99cfgcffebfb68ce1
AXE_CLEAVE	Cleaving Onslaught	hb89b153dg257eg4971g8b82g339b24101879
AXE_CRIPPLINGBONUSDAMAGE	Crippling Rend	h3faaac71gb83cg4bb2gb2ceg4b4e13701911
AXE_DW_AP	Invigorating Flurry	h26dc3deag49a5g47e7g8669g5e6edbfd1cef
AXE_EXECUTIONER	Ground Executioner	h4b35990bg2ff6g4035g8367gbde5f62489e1
AXE_SAVAGE	Savagery	h32973504g5870g4ce7ga8a6g27b458683a6b
AXE_SCOUNDREL	Stalker	h0290a4cdg81aeg4bccg991fg11995cd6da3a
AXE_SPINNING	Spinning Whirlwind	hb09a976eg6497g4f3dg89e2gb9e3b76e9286
AXE_VULNERABLE	Blitz Vulnerability	h5cf8d19fgbef3g471cg860fg29503e687411
BANNER_COOPERATION	Healing Cooperation	h973e7a48gec20g44d4ga23cgf2f1a7115976
BANNER_GUARDIAN_ANGEL	Guardian Banner	h094beeb8g72e4g4231g90fega35530b7f2d6
BANNER_INSPIRE	Cleansing Inspiration	h802661e8g5dcag4935gab89gd1144012375c
BANNER_LEADERSHIP	Inspiring Leadership	h194dbc58g694eg4134gae7fg767ba3b407a9
BANNER_OVERPOWER	Overpowering Allies	hf9f394ddg18fag41degb1edg51465a3991b9
BANNER_PROTECTION	Flank Protection	h4c622533gba32g43bbg8134g42ded4f95168
BANNER_RALLYINGCRY	Harmony Tactics	hf5541ebfg70f5g44f0gb57ag85da2a812582
BANNER_WARCHARGE	Hasted Warcharging	h828b9c4dgc3f3g4ba1gad82g53ce3b6e7667
BANNER_WHIRLWIND	Whirlwind Pull	had6b774egacfcg4b62gba84g9c8ab7566ab2
BATTLEBOOK_APOTHEOSIS	Apotheosis Knowledge	hcddf9b23gab7bg4ff1ga466g3ad70cd19938
BATTLEBOOK_BLESS	Blessed Smite	h8f9f966agb875g4febgaf30g2f24eb2ccafa
BATTLEBOOK_CHALLENGE	Challenger of Knowledge	ha6397058g6cd7g4608g81fbg1d8092fc6940
BATTLEBOOK_CONCUSSION	Concussive Books	h3612cc7dg6caeg45b9g8356g53198f0a3c32
BATTLEBOOK_CURSE	Cursed Strike	h19592684g1638g4a7bg9031g08113a276154
BATTLEBOOK_FIRST_AID	Medical Knowledge	h232ef1e6g8305g44b4gbf73gcf0a7c801c0d
BATTLEBOOK_LOOT	Book Finder	h89c5002fg92cbg45b0g972cg633c65d1cd02
BATTLEBOOK_SCHOLAR	Scholar of Memory 	hbb775321g9dfeg47ecga672g1e0afc239428
BATTLEBOOK_SCROLLS	Scroll Proficiency	h1e8c943agb695g4205gb7e8gb2aa90645663
BATTLEBOOK_TECTONICSHIFT	Tectonic Shift	hcea209cbg81e7g423ega97dg3fe587bd5a21
BLUDGEON_ARMORBREAKER	Armorbreaker	h8fb0dd4cg7410g479agacfag420da99810c4
BLUDGEON_FLURRY	Onslaught Slam	h819ed1c9gca0bg42bcgb403g843411b0787d
BLUDGEON_GROUNDQUAKE	Ground Smash Quake	h553420c7gbf0cg484dg949cg50b672d144a9
BLUDGEON_RUSH_DIZZY	Dizzying Rush	h65341d50gfa09g4875g8d86g94994321c775
BLUDGEON_SHATTER	Shattering Strike	h9cd45110g58f2g47e6gbd5eg27f429fafb43
BLUDGEON_SHELLCRACKING	Shell Cracking	hc39e45bdg69bbg4053gab25g31b80aadee2d
BLUDGEON_SUNDER	Sundering Blow	h03c0d99fg2431g4950gaf36geaa61cd4678b
BOW_ASSASSINATE_MARKED	Marked Assassination	h3401576cga533g4f78ga745g4c1aed3f6264
BOW_DOUBLE_SHOT	Double Pin	h4024d12egcf01g4671g9ae1ge80b7a9f1143
BOW_EXPLOSIVE_RAIN	Explosive Rain	hf74e65e3gab5bg4af8gbf1bgc9ab5e89d4ac
BOW_FARSIGHT	Farsight Protector	h4765c32cg366eg4e65gbd5eg107f5fc970db
BOW_FOCUSED_ATTACKING	Focused Victory	h9d0b7b9ag06a5g4a22ga9eage514f59150ed
CROSSBOW_MARKEDSPRAY	Marked Arrow Spray	h8ddac0a0gde77g4434gb507g110be5fc65e8
CROSSBOW_PIERCING_PROJECTILE	Piercing Bolts	h14dae2eag205cg4a66g9e07g610d9dad918c
CROSSBOW_PINFANG	Pinning Fang	h41601041g6fedg473dg9a4ag13039408e241
CROSSBOW_REACTIVE_TRAPPER	Reactive Trapper	hc0364e6dg8c5eg403fg9410g3bbeabedc8a8
CROSSBOW_RICOCHET	Ricochet Refresh	hb3ba9449gf7edg43bfg8789g473920e28932
CROSSBOW_SHATTERINGSNIPE	Shattering Snipe	heeef60fag1475g4bf2ga04bg465e7eea210f
CROSSBOW_SKYCRIT	Sky Superiority	h5195c0d9g4a6eg42ddg8c0dg9d0c0d45ac5d
CROSSBOW_STILL_STANCE	Still Stance	h7b55e210gdc85g4490g8eb9g1cfc99eb8286
DAGGER_BACKLASH	Knife & Vault	ha50f04a6gf86eg418fg8e2fge7a9a5f10d62
DAGGER_CORRUPTED_BLADE	Corruption Spread	h994ba1fcg8da5g4754g9893g0adbaeefaac4
DAGGER_CRUELTY	Cruel Explosion	ha9dc0093g2fc3g42b4g81a0g72e153aa32f5
DAGGER_FATALITY	Piercing Fatality	h98984bb7g7fb6g4e4bgada1g64cc0881f476
DAGGER_SERRATED_RUPTURE	Serrated Rupture	h5e3574f8gdf2ag4293gb08eg512aa6858a9e
DAGGER_SNEAKINGBONUS	Sneaky Strike	h0a3bb059g1582g4ed0g88bbg179a3cb55160
DAGGER_THROWINGKNIFE	Deadly Knife	h65dd6196gd885g4712ga7fcg2ff0dec0a5ea
DAGGER_THROWINGKNIFE2	Deadly Fan	h52fc8249gce60g41a8g97cbgef4c59d13fb8
DUALSHIELDS_RUSHPROTECTION	Rush Guard	hdd7209c3g0dc7g4be0gb361g9ba0d551fe19
FIREARM_TACTICAL_RETREAT	Temporary Retreat	h00e26304gf7b0g476ag8b44gdb7c8627c138
GREATBOW_RICOCHET	Reverberating Ricochet	h7dc40d6bg73a0g41ddga44bg992227fcc01c
HANDCROSSBOW_JUMP_MARKING	Jump Marking	hb994589bg55abg4bd4g8280g7c6662526119
HANDCROSSBOW_WHIRLWIND_BOLTS	Whirlwind Bolts	h10e428afg138eg4ae5gb837gc992bf090a3d
KATANA_VAULT	Vaulting Boost	h1ea92754gec31g4581gb0c2g762ce1ab5552
PISTOL_ADRENALINE	Adrenaline Boost	h68d8bbd7g02c1g4880gb99dg498e92ef5378
PISTOL_CLOAKEDJUMP	Cloak & Reload	h918544b9g1788g49a0g8fa3g54bfb92f7e50
RAPIER_SUCKER_PUNCH_COMBO	Sucker Punch	h4863f0a7g88a4g47fbg8312gdcc9ded5bac7
SCYTHE_RUPTURE	Whirlwind Rupture	h13f3e728g2456g460cgbc5agdafbda55f7af
SHIELD_GUARANTEED_BLOCK	Shields Up Plus	h3b52ad7dg1bfdg4093g9180g1d7be1251205
STAFF_ELEMENTAL_WEAKNESS	Elemental Weakness	h294b7cf1g375eg45b7g9e1agffc1e1f4d0cf
SWORD_BALANCE_SHIFT	Balance Shift	h7fc728fbg41d9g49b7g9717gc2d75d9d88a8
UNARMED_BLINKSTRIKE	Blinking Warfare	h236c1e4egbcb0g49bcg8718gff6f334e91dc
UNARMED_PETRIFYING_SLAM	Petrifying Slam	h661775c1g61eeg4b11g91dag99a35ae0b0f7
UNARMED_WHIRLWIND	Vortex Whirlwind	h61937e70g4bf7g4c1fga467g6b547d89ad3e
WAND_BLOOD_EMPOWER	Blood Empower	h03b512b5g0b92g4dbegb56bgb777efa67669
WAND_ELEMENTAL_WEAKNESS	Elemental Weakness	ha8081cb6ge364g436bg92d8ga7dd6bec2ece
WAND_SURFACE_BOOST	Elemental Empower	haf9a091fgead0g4151g95feg436e7da3f882
THROWING_SECONDIMPACT	Second Impact	h6d9e1d9dg2d0fg41ccg8a80g41b8ed1f4838
THROWING_EXPLOSIVES_EXPERT	Explosives Expert	hb11c5699g24a7g4923gbd55g682fcad803b7
