Key	Content	Handle
LLWEAPONEX_Mastery	Mastery	hd84bd8c4gb25fg46bagbbf9ga3d43b8bfacc
LLWEAPONEX_Axe	Axe	h99253a1dgaaf7g49bbga37fgf2c25b70073f
LLWEAPONEX_Axe_Rank0_DisplayName	Beginner	hf503b6cag1d99g488bga8efgf5ead043493d
LLWEAPONEX_Axe_Rank1_DisplayName	Novice	h25afab32g53ccg4cf6g80cfg6c768304a925
LLWEAPONEX_Axe_Rank2_DisplayName	Journeyman Axefighter	h4795ea48g3ffbg49e2ga99fgc51b65b7bac4
LLWEAPONEX_Axe_Rank3_DisplayName	Expert Axefighter	h0cb1a1eag87c4g42d4gafb6gd862c3856941
LLWEAPONEX_Axe_Rank4_DisplayName	Warmaster, Axe of Legend	ha149de7fg2151g46cfgbf58gc6294f53da42
LLWEAPONEX_Banner	Banner	hbe8ca1e2g4683g4a93g8e20g984992e30d22
LLWEAPONEX_Banner_Rank0_DisplayName	Beginner	hf573b58dge7abg45a3ga080gb002fa55e696
LLWEAPONEX_Banner_Rank1_DisplayName	Novice	h3ed3f447g6232g427cg948cg376f405f8413
LLWEAPONEX_Banner_Rank2_DisplayName	Journeyman Bannerman	ha9259747g75d2g452ag8688g3ce77b6cad95
LLWEAPONEX_Banner_Rank3_DisplayName	Expert Bannerkeeper	h439e053bgd9c6g4dd4gbca4ge54f85d29d22
LLWEAPONEX_Banner_Rank4_DisplayName	Banner Lord	hb62e44dfg79b4g4a88gac70gb89724dadf12
LLWEAPONEX_BattleBook	Battle Book	he053a3abge5d8g4d14g9333ga18d6eba3df1
LLWEAPONEX_BattleBook_Rank0_DisplayName	Beginner	h41213086g6611g45f9gb6c1gb07a11f06e64
LLWEAPONEX_BattleBook_Rank1_DisplayName	Novice	h83caead8g3a51g4daag9145ge0b8a4dd23a5
LLWEAPONEX_BattleBook_Rank2_DisplayName	Journeyman Bookkeeper	he30d8120g13e1g4261g853cgdce0c96a00da
LLWEAPONEX_BattleBook_Rank3_DisplayName	Expert Bookkeeper	h9bcf36d2g13e1g4d5agb4cbg5184482f14b3
LLWEAPONEX_BattleBook_Rank4_DisplayName	Pagemaster	hcf8ab49dga402g46a3g80d6gfece2661cb1f
LLWEAPONEX_Bludgeon	Bludgeon	h448753f3g7785g4681gb639ga0e9d58bfadd
LLWEAPONEX_Bludgeon_Rank0_DisplayName	Beginner	h2869c187g43c7g4a43g840eg09183a619b9e
