Key	Content	Handle
LLWEAPONEX_Axe_Rank1_Description	<icon id='Target_CripplingBlow' icon='Skill_Warrior_CripplingBlow'/>[Key:Target_CripplingBlow_DisplayName] deals additional <font color='#CD1F1F'>piercing damage</font> to disabled targets.	h90a60c8fg1d73g4db9g906dgd10be6e3df63
LLWEAPONEX_Axe_Rank2_Description	<icon id='MultiStrike_BlinkStrike' icon='Skill_Warrior_BlinkStrike'/>[Key:MultiStrike_BlinkStrike_DisplayName] applies Vulnerable to targets hit. Vulnerable lasts until the end of your turn, and deals a one-time amount of bonus damage on hit.	h7755a064g6e0eg4434g9e34g857ca4e829b3
LLWEAPONEX_Banner_Rank1_Description	<icon id='Rush_BatteringRam;Rush_BullRush' icon='Skill_Warrior_BatteringRam;Skill_Polymorph_BullRush'/>If under the effects of War Charge, deal 25% more damage and gain Hasted after using a rush skill.<icon id='Shout_InspireStart' icon='Skill_Warrior_Inspire'/>Fear, Madness, and Sleep are cleansed from encouraged allies.	h313c4c7eg0562g4952gbbf9gd1c810163574
LLWEAPONEX_BattleBook_Rank1_Description	<icon id='Target_LLWEAPONEX_BasicAttack;LLWEAPONEX_CONCUSSION' icon='Action_AttackGround;LLWEAPONEX_Status_Concussion' type='1;2'/> Basic attacks have a chance to give the target a Concussion.	h8a7b2799g1053g4721g8aa2g1a56ea4e98cd
LLWEAPONEX_Bludgeon_Rank1_Description	<icon id='Rush_BatteringRam' icon='Skill_Warrior_BatteringRam'/>[Key:Rush_BatteringRam_DisplayName] has a 25% chance to apply Dizzy for 1 turn.	he91f94eag4370g4caagbc62gde3b37a9e452
LLWEAPONEX_Bludgeon_Rank2_Description	<icon id='Target_CripplingBlow' icon='Skill_Warrior_CripplingBlow'/>[Key:Target_CripplingBlow_DisplayName] applies Sundered, reducing max Physical and Magic Armor by 25%.	h6a51f8bbg89aeg4b36g90b4g67b9e206522e
LLWEAPONEX_Bludgeon_Rank3_Description	<icon id='Cone_GroundSmash' icon='Skill_Warrior_GroundSmash'/>[Key:Cone_GroundSmash_DisplayName] creates a localized quake at the point of initial impact, dealing bonus damage in a 3m radius.	h3b90f6e5gfc36g4085gb291g03b83af766de
LLWEAPONEX_Bow_Rank1_Description	<icon id='Projectile_PinDown' icon='Skill_Ranger_PinDown'/>[Key:Projectile_PinDown_DisplayName] shoots two arrows instead of one, hitting a random nearby enemy for half damage.	h5086140cg5c20g4fa9ga057g58a67546624f
LLWEAPONEX_Crossbow_Rank1_Description	<icon id='Projectile_SkyShot' icon='Skill_Ranger_SkyShot'/>[Key:Projectile_SkyShot_DisplayName] deals a guaranteed critical hit to targets that are Knocked Down.	h6ab0e2beg916eg4559g9981ga731585aa356
LLWEAPONEX_Dagger_Rank1_Description	<icon id='Projectile_ThrowingKnife' icon='Skill_Rogue_ThrowingKnife'/>[Key:Projectile_ThrowingKnife_DisplayName] is enhanced with a chance to do bonus damage.	hac7da9cbgdb9dg4140g85f2g572856006cb9
