Key	Content	Handle
LLWEAPONEX_MasteryBonus_BannerEncourage	<font color='#FFCE58'>Fear, Madness, and Sleep are cleansed from encouraged allies.</font>	h4190e997g6776g46a5gbff1g711a310c6d38
LLWEAPONEX_MasteryBonus_CripplingBlow_PiercingBonus	<font color='#F19824'>If the target is disabled, deal an additional [SkillDamage:Projectile_LLWEAPONEX_MasteryBonus_CripplingBlowPiercingDamage].</font>	h46875020ge016g4eccg94ecgc9f5233c07fd
LLWEAPONEX_MasteryBonus_CripplingBlow_SplashDamage	<font color='#F19824'>Deal an additional [1] in a [2]m radius around the target.</font>	h77dc5f0cga805g4e21ga44fg0a0f7ba0d23f
LLWEAPONEX_MasteryBonus_CripplingBlow_SunderBonus	<font color='#F19824'>Sunder the armor of hit targets, reducing max <font color='#AE9F95'>[Handle:h161d5479g06d6g408egade2g37a203e3361f:Physical Armour]</font>/<font color='#4197E2'>[Handle:h50eb8e33g82edg412eg9886gec19ca591254:Magic Armour]</font> by <font color='#AE9F95'>[Stats:Stats_LLWEAPONEX_MasteryBonus_Sunder:ArmorBoost]%</font>/<font color='#4197E2'>[Stats:Stats_LLWEAPONEX_MasteryBonus_Sunder:MagicArmorBoost]%</font></font> for [ExtraData:LLWEAPONEX_MasteryBonus_CripplingBlow_SunderTurns] turn(s).</font>	h1eb09384g6bfeg4cdaga83fgc408d86cfee4
LLWEAPONEX_MasteryBonus_CripplingBlow_SwordDebuff	<font color='#FF6624'>Targets hit deal <font color='#FF0000'>[1]% less damage</font> until their turn ends, while you deal <font color='#33FF00'>[2]% more damage to them</font> until your turn ends.</font>	h52408aa9gab17g47c9g91b2g9c130cb33443
LLWEAPONEX_MasteryBonus_ElementalWeakness	<font color='#9BF0FF'>Targets hit become weak to your weapon's element, gaining [Special] for [ExtraData:LLWEAPONEX_MasteryBonus_ElementalWeaknessTurns] turn(s).</font>	h0ee72b7cg5a84g4efcgb8e2g8a02113196e6
LLWEAPONEX_MasteryBonus_ElementalWeakness_NoElement	<font color='#FF3333'>Disabled - Your current weapon(s) deal no elemental damage.<br><font size='18' color='#666666'>Targets hit become weak to your weapon's element for [ExtraData:LLWEAPONEX_MasteryBonus_ElementalWeaknessTurns] turn(s).</font></font>	hc0afc564g5c15g47e1g9cf1g5ac28f02033a
LLWEAPONEX_MasteryBonus_FleshSacrifice_BloodEmpowered	<font color='#CC33FF'>Allies standing on <font color='#F13324'>blood surfaces</font> or in <font color='#F13324'>blood clouds</font> gain a <font color='#33FF00'>[Stats:Stats_LLWEAPONEX_BloodEmpowered:DamageBoost]% damage bonus</font>.</font>	h0ad1536cg0e74g46dag8e1egc15967242d14
LLWEAPONEX_MasteryBonus_PetrifyingTouch	<font color='#FFCE58'>Slam the target with your palm, knocking them back <font color='#33FF00'>[ExtraData:LLWEAPONEX_MasteryBonus_PetrifyingTouch_KnockbackDistance]m</font> and dealing [SkillDamage:Projectile_LLWEAPONEX_MasteryBonus_PetrifyingTouchBonusDamage].</font>	h01468f79gd9b2g4479ga596g8a68e07c39e7
LLWEAPONEX_MasteryBonus_RecoverArmourBonus	Damage from the next direct hit taken is reduced by <font color='#33FF00'>[ExtraData:LLWEAPONEX_MasteryBonus_RecoverArmour_DamageReduction]%</font>.	h6a284017g342dg4809gab69g6e77bddaf8c2
LLWEAPONEX_MasteryBonus_Rush_DizzyBonus	Become a thundering force of will when rushing, <font color='#FFCE58'>knocking enemies aside</font> with a <font color='#F19824'>[ExtraData:LLWEAPONEX_MasteryBonus_RushDizzyChance]% chance to apply Dizzy for [ExtraData:LLWEAPONEX_MasteryBonus_RushDizzyTurns] turn(s)</font>.	h9831ecc7g21feg403cg9bd6ga0bab3f7eb9c
LLWEAPONEX_MasteryBonus_Rush_WarChargeBonus	If under the effects of <font color='#FFCE58'>War Charge</font>, deal <font color='#33FF00'>[ExtraData:LLWEAPONEX_MasteryBonus_WarChargeDamageBoost]% more damage on hit</font> and gain <font color='#7D71D9'>[Key:HASTED_DisplayName]</font> after rushing.	h3c34bca6gc080g4de4gae5eg4909ad60ecc8
