Key	Content	Handle
CONT_TradeBag_AttributeTokens	Bag of Special Tokens	hacdffffagd70fg461dgb468gfb695746b853
CONT_TradeBag_AttributeTokens_Initial	<font color='#80FFC3'>Bag of Special Tokens</font>	hb9d29345g4860g4a16gbf15g777e1e8998b8
GRN_LLWEAPONEX_BloodBall	Congealed Blood Ball	hc3f850f7g42c0g4d41gb9b3g4cf024706cb3
GRN_LLWEAPONEX_Flask_Weakness_Air_A	<font color='#7478DC'>Flask of Air Weakness</font>	hedda4e73gbe09g4678gb0dfg2f67ebbe7b64
GRN_LLWEAPONEX_Flask_Weakness_Chaos_A	<font color='#D040D0'>Flask of Chaotic Weakness</font>	hc32ab995ga1eeg4c65gb1aag24255beb13e3
GRN_LLWEAPONEX_Flask_Weakness_Earth_A	<font color='#AA895B'>Flask of Earth Weakness</font>	hf8102d0cg0d82g42f2g9b4bg8b31b197ac68
GRN_LLWEAPONEX_Flask_Weakness_Fire_A	<font color='#C76537'>Flask of Fire Weakness</font>	h7b973523g0f82g40bfg81eaga78da1811e10
GRN_LLWEAPONEX_Flask_Weakness_Poison_A	<font color='#00AA00'>Flask of Poison Weakness</font>	h1765f964g83e6g4e49g89afg2a7239aa0a3c
GRN_LLWEAPONEX_Flask_Weakness_Water_A	<font color='#188EDE'>Flask of Water Weakness</font>	h3eebf141gc25cg449dga4aag3f7a3cfc3c57
GRN_LLWEAPONEX_Ingredient_Flask_Empty	Empty Glass Flask	h91d6604fg166fg4390g88e4g1847a776456f
LOOT_LLWEAPONEX_Token_Constitution	<font color='#EA74B6'>Token of Constitution</font>	h31cede19g57a8g48deg87d7gaa9dc607185c
LOOT_LLWEAPONEX_Token_Constitution_Free	<font color='#EA74B6'>Token of Constitution</font>	haafc1fcfgb8adg4ba2gb6e4ge48d4225b936
LOOT_LLWEAPONEX_Token_Finesse	<font color='#81AB00'>Token of Finesse</font>	ha62b3311gd53fg466ag833cg4828d2e6abd6
LOOT_LLWEAPONEX_Token_Finesse_Free	<font color='#81AB00'>Token of Finesse</font>	h5fc057e4g2495g40fdg8c75ga0940679a542
LOOT_LLWEAPONEX_Token_Intelligence	<font color='#73F6FF'>Token of Intelligence</font>	h81219921g27dcg424dg9125ga508ceb28f76
LOOT_LLWEAPONEX_Token_Intelligence_Free	<font color='#73F6FF'>Token of Intelligence</font>	hedd0d950g6b46g4299gb106g373007c53a47
LOOT_LLWEAPONEX_Token_Memory	<font color='#FCD203'>Token of Memory</font>	h757628cfg8bb1g4defgb24fgf3e5e4e3c328
