Key	Content	Handle
Stats_LLWEAPONEX_ArmCannon_Charged	Charged (Runic Cannon)	h63d5e39cg9ef5g4953gbf6ag8e9a9c5821b7
Stats_LLWEAPONEX_Backpack_Demolition_Equipped	Enhanced Demolition	hbf253b8bg47b8g4c03g80a7g230269c0ad4b
Stats_LLWEAPONEX_Banner_Rally_DivineOrder_AuraBonus	<font color='#FF5522'>Rally of the Divine</font>	h5a0acb29gfeaag484eg84f8gb692381f545a
Stats_LLWEAPONEX_Banner_Rally_Dwarves_AuraBonus	<font color='#FF5522'>Rally of the Pack</font>	hab1ede38gf3c8g43d2g8633g1244f7459d6e
Stats_LLWEAPONEX_Basilus_Haunted	Haunted (Blade of Basilus)	h7b89673fg1967g4699g95e2gd0265eacb05d
Stats_LLWEAPONEX_BattleBook_SpellScroll_Element_Air	Aspect of Air	hf247dd3dg7c2dg48a9g96fege61d446298ca
Stats_LLWEAPONEX_BattleBook_SpellScroll_Element_Earth	Aspect of Earth	hb4e2acfeg3d33g4effg957eg6188f41d12c3
Stats_LLWEAPONEX_BattleBook_SpellScroll_Element_Fire	Aspect of Fire	h0d525994gf174g490eg94e5gca3b63f6d99e
Stats_LLWEAPONEX_BattleBook_SpellScroll_Element_Necromancy	Aspect of Necromancy	ha421bcffge033g47d5g9b73ga8d03abc2364
Stats_LLWEAPONEX_BattleBook_SpellScroll_Element_Poison	Aspect of Poison	h8d03efc5g6e18g4491g9fe3g72302b395c2d
Stats_LLWEAPONEX_BattleBook_SpellScroll_Element_Polymorph	Aspect of Polymorph	hdffc3609gab35g4840gb0b2g086e0f9d4f87
Stats_LLWEAPONEX_BattleBook_SpellScroll_Element_Summoning	Aspect of Summoning	h8d34a193g1102g4101g90a7g4345cb51d976
Stats_LLWEAPONEX_BattleBook_SpellScroll_Element_Water	Aspect of Water	h9d792e50gb3eag4469gaefag75837143ca82
Stats_LLWEAPONEX_BeerChampion	Champion of Beer	h5290b499ga959g4addg8b01g6ccb4a5fbda4
Stats_LLWEAPONEX_BlindfoldEquipped	Blindfolded	h080c68b2g315eg490dgbf34g85d2af74ad68
Stats_LLWEAPONEX_BloodEmpowered	Empowered by Blood	h6b16bc91ge0bag411ag9684g71a7a00685b1
Stats_LLWEAPONEX_ChaosPower	Chaotic Power	h31557319gc435g4ec5ga57ag3c80024b6b71
Stats_LLWEAPONEX_CombatShieldArmor	Combat Shield	hf4a3144egb402g4631ga4d8g7e47144c28b5
Stats_LLWEAPONEX_Concussion	Concussion	hef8714b3gb7f6g4cc7g9806g9005f899b1b4
Stats_LLWEAPONEX_Cursed	Malediction	h0302f720g7990g42b4gbf5eg921d1af83b55
Stats_LLWEAPONEX_Demolition_Bonus_CharmedDebuff	Enhanced Demolition Bonus	hb338a681g0e50g4c8fgbec9gf22a5b9578ca
Stats_LLWEAPONEX_Demolition_Bonus_CharmedDebuff2	Enhanced Demolition Bonus	hc8a0e65bg56c4g4ae5g8611g00bd189292d8
Stats_LLWEAPONEX_Demolition_Bonus_TerrorDebuff	Enhanced Demolition Bonus	h1bdb5e07gf441g4020g9f25g6ea0457e71fe
Stats_LLWEAPONEX_DevilHand_Bonus	Demonic Surge	h0b157d20g8525g44e5g9cf2g9bb41a4820ce
Stats_LLWEAPONEX_DevilHand_Defense	Demonic Protection	hff1a0098g0d08g4386gb48ag5d2649cb5025
Stats_LLWEAPONEX_Dizzy	Dizzy	he67e894ag310bg4016g8434gad6327dcde15
Stats_LLWEAPONEX_Doused	Doused	hecc7a181g21dcg47d8ga3fag35107169defd
Stats_LLWEAPONEX_DragonGrounded	Dragon's Bane	h2fec8788g4766g469fg8774g6f0922ff5123
Stats_LLWEAPONEX_FinesseStrengthBonus	Finesse Conversion	h2c72dda9gf24ag4bd0ga890ge00f5af40eb0
Stats_LLWEAPONEX_IntelligenceFinesseBonus	Intelligence Conversion	hc82989a4gad80g43e9g9bb9geca7ab4d3b94
Stats_LLWEAPONEX_MasteryBonus_Sunder	Sundered	h8db64c91gdac3g4b82gb70ag32c863335c0e
Stats_LLWEAPONEX_MasteryBonus_Vulnerable	Vulnerable	h31268fcagadacg4670ga80bge8322f1d79b5
Stats_LLWEAPONEX_MasteryBonus1	Weapon Mastery (Novice)	he4140a1cg3bd8g42d2gb62ag109c537e6651
Stats_LLWEAPONEX_MasteryBonus2	Weapon Mastery (Journeyman)	h51274ed6gfb4dg4728g9f6fg8a8a69f49bfd
Stats_LLWEAPONEX_MasteryBonus3	Weapon Mastery (Expert)	he5d22aaag42a6g45cfg8000g45270e27d785
Stats_LLWEAPONEX_MasteryBonus4	Weapon Mastery (Master)	hef026ec4g6e30g4c83g8492g25338891c850
Stats_LLWEAPONEX_Rapier_FrenzyCharge1	Frenzy Charge	h8337bebbg8328g4b66g9a97g486c37b90a99
Stats_LLWEAPONEX_Rapier_FrenzyCharge2	Frenzy Charge (2)	ha81f1e42g41d3g4e2agaf15g7960b904ecc7
Stats_LLWEAPONEX_Rapier_FrenzyCharge3	Frenzy Charge (3)	ha8b4c3e0g2570g422bg8652gc3fb30198fa9
Stats_LLWEAPONEX_Rapier_FrenzyCharge4	Frenzy Charge (4)	hc508cf38g22a9g43e7gaea8g67e196f00555
Stats_LLWEAPONEX_RapierMastery_CritDamageBoost	Flourish (Duelist Stance)	hb4441c7fge804g4e61gbc9bgf0c3239e13c6
Stats_LLWEAPONEX_RapierMastery_DuelistBonus	Flourish (Duelist Stance)	h53cfcfb9g7746g456ag93b2g1670d45d5d30
Stats_LLWEAPONEX_RapierMastery_DuelistStance	Duelist Stance	h63e8ccdbg84b8g411cg9797g605a5449494a
Stats_LLWEAPONEX_RapierMastery_DuelistStance_Weapon	Duelist Stance	hec14d043g3a08g443bg8f3dg7c00ca41b340
Stats_LLWEAPONEX_RemoteMine_Add_Recharge	Recharging (Demolitionist's Backpack)	h9eba2ad8g13b4g4e10gb3bfg626ad2e82cff
Stats_LLWEAPONEX_Revenant	Revenant	h4e828850gecfbg4349g914dg2af390edffe5
Stats_LLWEAPONEX_SoulBurn1	Soul Burn	h8de596eag6485g46ffg9076g9e766e6bd41d
Stats_LLWEAPONEX_SoulBurn2	Soul Burn II	haba65499g7cd9g48e4g8892g95b286ecad6c
Stats_LLWEAPONEX_SoulBurn3	Soul Burn III	h6dd0ecbag93acg451cg8847g4790576be19a
Stats_LLWEAPONEX_SoulBurn4	Soul Burn IV	h1cc82a7bge6d4g4009g89f8g44a0f195c643
Stats_LLWEAPONEX_SoulBurn5	Soul Burn V	hfa05d55dgf3beg41c7g962ag3518e3719760
Stats_LLWEAPONEX_SoulHarvest_DamageBonus1	Soul Bounty I	h28548559g70e2g4391gbcc2gb3d0d8618782
Stats_LLWEAPONEX_SoulHarvest_DamageBonus2	Soul Bounty II	h7fbbfee8geee0g4fdcgad0dgbfe83a26124e
Stats_LLWEAPONEX_SoulHarvest_DamageBonus3	Soul Bounty III	ha42425fbg4d35g4818g84fag128b9eb13e6e
Stats_LLWEAPONEX_SoulHarvest_DamageBonus4	Soul Bounty IV	h0989fe2fg6173g4d75ga291gac5e9e4a6db0
Stats_LLWEAPONEX_SoulHarvest_DamageBonus5	Soul Bounty V	h600e653cg58bfg43b6gb546g116aef9ba9c9
Stats_LLWEAPONEX_StrengthIntelligenceBonus	Strength Conversion	h652d73fcg18b6g469cg8849g710028f8ec91
Stats_LLWEAPONEX_Tarred	Tarred	hfc3aff25gc784g4108gb393g5a346f5b212a
Stats_LLWEAPONEX_UnrelentingRage	Raging	h37c7be81g701bg4c19ga8ebg2c9db9da0c0c
Stats_LLWEAPONEX_UnrelentingRageBonus	Fury's Reward	h3e843c3ag22aeg400egb959gca152d6e8818
Stats_LLWEAPONEX_UnrelentingRageBonus2	Fury's Reward II	he791882dg4ce9g48dcgb4ccg67c95e1416ba
Stats_LLWEAPONEX_UnrelentingRageBonus3	Fury's Reward III	hf57d9f94g473dg4552g8edagc58d2aebf2c6
Stats_LLWEAPONEX_UnrelentingRageBonus4	Fury's Reward IV	hd0416ac7gc514g4631ga674g7cde3cf40ef7
Stats_LLWEAPONEX_UnrelentingRageBonus5	Fury's Reward V	h348a2785g5750g4d3ag9ae4ge434051a48c2
Stats_LLWEAPONEX_WarCharge	War Charge	h2bda3229g17f3g4b04gb1c7g34464eceeb0e
Stats_LLWEAPONEX_WarCharge_DamageBoost	First Strike (War Charge)	h1cc9cd1dga69eg4618g8763g0ad2373c3d11
Stats_LLWEAPONEX_WarChargeBonus	Charging (War Charge)	h9cd677b5g6c02g4a12gb671g70df0a3e47d0
Stats_LLWEAPONEX_WarchiefMark	Warchief's Mark	hd8da42fdge304g4572gbac6gd43fb7bde09b
Stats_LLWEAPONEX_WaterBurn	Water Burn	hc6198b34gfc48g4fd8gab35gb29a4c957eb3
Stats_LLWEAPONEX_Weakness_Air	Air Weakness	hda279084g7a6ag42c5g85a8gfabea6a94d80
Stats_LLWEAPONEX_Weakness_Chaos	Chaotic Weakness	h009602a9g38aeg4454g9679g8986234ef1ff
Stats_LLWEAPONEX_Weakness_Earth	Earth Weakness	he062c53ag6e30g4087gb1b0g1eafa31ff59c
Stats_LLWEAPONEX_Weakness_Fire	Fire Weakness	hcad935c0g582ag4b8egb609ga3365b3b4a13
Stats_LLWEAPONEX_Weakness_Physical	Physical Weakness	h306f6d0bg8623g4065ga919gd9226a25d035
Stats_LLWEAPONEX_Weakness_Piercing	Piercing Weakness	h661cff27geb36g4644gb34fg9553b9a51fe5
Stats_LLWEAPONEX_Weakness_Poison	Poison Weakness	h67d7633bgfd6fg42f5g8d31g3680482ab058
Stats_LLWEAPONEX_Weakness_Shadow	Shadow Weakness	h44d793cbg555bg44fegaac2gc8fb48129c4d
Stats_LLWEAPONEX_Weakness_Water	Water Weakness	h079883c9g8f7bg43bcgb889g0bf7589a0b80
Stats_LLWEAPONEX_WraithbladeMark	Mark of the Wraith	h23cacf78g143fg45d1gb348g84fd913e573e
