Key	Content	Handle
Stats_LLWEAPONEX_Katana_Combo1	Blademaster's Strike	h560c12c6ga6dag4aa3g9e89g3f945f21bd37
Stats_LLWEAPONEX_Katana_Combo2	Blademaster's Strike 2	h37e4fb5bg10a7g428bg8aa3g719e66107aa0
Stats_LLWEAPONEX_Katana_Combo3	Blademaster's Strike 3	hc60b1ac7g0c9fg4b31ga3efg58b9af61705b
Stats_LLWEAPONEX_Katana_Combo4	Blademaster's Strike 4	h0a3be573g6d67g4953gb4fcgcf4a5db30a27
Stats_LLWEAPONEX_Katana_Combo5	Blademaster's Strike 5	h62cdf626g757cg4796gb7a5gfa4f20b25d1b
Stats_LLWEAPONEX_Katana_Combo6	Blademaster's Strike 6	hfe5ab83agc07fg46bcg912bg37af64f7d1c7
Stats_LLWEAPONEX_Katana_Combo7	Blademaster's Strike 7	h5c65b248g0e76g41a5gb068gb4c884703c5b
Stats_LLWEAPONEX_Katana_Combo8	Blademaster's Strike 8	h575a6a47gc079g452ag9a59g9b02b66308fd
Stats_LLWEAPONEX_Katana_Combo9	Blademaster's Strike 9	hdada42edge014g4a62gae6ag0b0115511488
Stats_LLWEAPONEX_Katana_Finisher	Finisher	h6c3a54c2g32aeg4e65ga597g80f40c6195cd
Stats_LLWEAPONEX_MuramasaCurse	Curse of the Muramasa	h0d198b10gc1beg4a18ga695g3b7eb57fb371
