Key	Content	Handle
Stats_LLWEAPONEX_Activate_Runeblade_Air	Lightning Rune	h10eec491gd033g4bcfgb924gcdbd52f11ffd
Stats_LLWEAPONEX_Activate_Runeblade_Avalanche	Avalanche Rune	hb69d0ce2g0c1dg4bdfg9d1fg6e77f212b510
Stats_LLWEAPONEX_Activate_Runeblade_Blood	Blood Rune	h1491a4a1g0a11g4214g8a3fgd45134b638f1
Stats_LLWEAPONEX_Activate_Runeblade_BloodAir	Bloodstorm Rune	h88c3f760g03b2g43d1g951ag5205a1fab669
Stats_LLWEAPONEX_Activate_Runeblade_BloodEarth	Grave Rune	h7072fa7bgc209g40dfgb255g26cfcc34b6da
Stats_LLWEAPONEX_Activate_Runeblade_BloodFire	Soul Rune	h5eb9e127gdbfbg446egbaf0gb25418ef5ab9
Stats_LLWEAPONEX_Activate_Runeblade_BloodPlus	Necromantic Rune	h5d0dd2d4ga761g4aeegafc5g17f8ab856449
Stats_LLWEAPONEX_Activate_Runeblade_BloodPoison	Disease Rune	hf3bb80b2g2b0dg4982g8fa6g833af494dee1
Stats_LLWEAPONEX_Activate_Runeblade_BloodWater	Lifeblood Rune	h1cbf80a3g66ebg4279gbb19g7bd94d679647
Stats_LLWEAPONEX_Activate_Runeblade_Conduction	Conduction Rune	h2215bc77gd613g48b6g975cg955d332a3943
Stats_LLWEAPONEX_Activate_Runeblade_Contamination	Contamination Rune	h5d8baba3g6dfag4651gb405g2f9e93097e4f
Stats_LLWEAPONEX_Activate_Runeblade_Death	Death Rune	hb1d9d1d8g86e3g498bga603gfbbc3ec6c44c
Stats_LLWEAPONEX_Activate_Runeblade_Dust	Dust Rune	h86660c61gd073g4780g846egf0bd558cd1d3
Stats_LLWEAPONEX_Activate_Runeblade_Earth	Earth Rune	h7dd1f8d3ge795g4bbbgb47fg62f76f4ce5fb
Stats_LLWEAPONEX_Activate_Runeblade_Explosive	Explosion Rune	h59dfbe88g8f83g440bga8fbg5fe21502af1c
Stats_LLWEAPONEX_Activate_Runeblade_Fire	Fire Rune	hcd84456dgbd1cg4165g92f4gb488094b4816
Stats_LLWEAPONEX_Activate_Runeblade_Gas	Gas Rune	h904a6729gae64g4aecg8658g366b3ecc35a5
Stats_LLWEAPONEX_Activate_Runeblade_Heatburst	Heatburst Rune	ha8c7ee33g458fg4398g92cdg9218b530669d
Stats_LLWEAPONEX_Activate_Runeblade_Ice	Ice Rune	hbecd7d55g85f8g4716g9346g15ff17837431
Stats_LLWEAPONEX_Activate_Runeblade_Ice_BonusDamage	Ice Rune	hfd287625g2216g49c6g9b32gb72ebe21cc6d
Stats_LLWEAPONEX_Activate_Runeblade_Inferno	Inferno Rune	h012244c7gbb72g4652g8ee1g19be9a9da947
Stats_LLWEAPONEX_Activate_Runeblade_Lava	Lava Rune	h2d15369bg951bg438cga94fg7ccb48f7a9b1
Stats_LLWEAPONEX_Activate_Runeblade_Poison	Poison Rune	h2652821dg5fabg4424g8b5ag83d8e9b88b63
Stats_LLWEAPONEX_Activate_Runeblade_Quake	Quake Rune	h0c0796c6g22ddg445fg873dg1750c323f481
Stats_LLWEAPONEX_Activate_Runeblade_Searing	Searing Rune	hd89162bfgefcag41b3ga83eg08117f51d660
Stats_LLWEAPONEX_Activate_Runeblade_Tar	Tar Rune	h02124cc6gecf8g4a72ga2aege9cb12e0f0d5
Stats_LLWEAPONEX_Activate_Runeblade_Thunderbolt	Thunderbolt Rune	h1ab91e00gd382g4d82gb76dg1532aa86b389
Stats_LLWEAPONEX_Activate_Runeblade_Venom	Venom Rune	haf0de280g47e7g41e3g9401g03e636e870d3
Stats_LLWEAPONEX_Activate_Runeblade_Water	Water Rune	h1b3920b8gab1ag4914gbe71ged645d9a309e
