Key	Content
Stats_LLWEAPONEX_Throw_DazedDebuff	Blunt Trauma
Stats_LLWEAPONEX_Throw_DazedFX	Dazed
Stats_LLWEAPONEX_Throw_ImpaledDebuff	Internal Damage
Stats_LLWEAPONEX_Throw_ImpaledWeapon	Impaled
Stats_LLWEAPONEX_Throw_Staff	Staff Infection
Stats_LLWEAPONEX_Throw_Wand	Flabbergasted
Stats_LLWEAPONEX_Throw_Wand	Flabbergasted
Stats_LLWEAPONEX_Throw_Unique_Axe1H_A	Impaled (Balrin's Throwing Axe)
Stats_LLWEAPONEX_BalrinDisarmedInfo	Threw Balrin's Throwing Axe
Stats_LLWEAPONEX_Throw_Potion_Debuff_Air	Air Weakness
Stats_LLWEAPONEX_Throw_Potion_Debuff_Chaos	Chaotic Weakness
Stats_LLWEAPONEX_Throw_Potion_Debuff_Earth	Earth Weakness
Stats_LLWEAPONEX_Throw_Potion_Debuff_Fire	Fire Weakness
Stats_LLWEAPONEX_Throw_Potion_Debuff_Poison	Poison Weakness
Stats_LLWEAPONEX_Throw_Potion_Debuff_Water	Water Weakness
