Key	Content	Handle
Dome_LLWEAPONEX_Banner_Rally_Description	Rally the party at the target location.<br><font color='#00FFDD'>Party members are granted a one-time use skill that teleports them to the raised banner.</font>	hae185797g0f35g4260g828eg33c421c21ca4
Dome_LLWEAPONEX_Banner_Rally_DisplayName	<font color='#FEFFB3'>Rally</font>	h3a72bd6cg4c6bg4488g9bf0gf15603907e4d
Dome_LLWEAPONEX_Banner_Rally_DivineOrder_Description	Rally the party at the target location.<br><font color='#00FFDD'>Party members are granted a one-time use skill that teleports them to the raised banner.</font><br><font color='#99FFFF'>The banner inspires faith in the Divine, granting a +[1] boost to attributes, a +[2]% boost to dodge, and a +[3]% boost to damage.</font>	h75169d2cg498dg4241gbc66g600953a95398
Dome_LLWEAPONEX_Banner_Rally_DivineOrder_DisplayName	<font color='#FEFFB3'>Rally of the Divine</font>	hd4aede56g6547g43d7gaf29ge3588bd5d6f8
Dome_LLWEAPONEX_Banner_Rally_Dwarves_Description	Rally the party at the target location.<br><font color='#00FFDD'>Party members are granted a one-time use skill that teleports them to the raised banner.</font><br><font color='#FF7733'>The banner unleashes the hunger of the pack, granting [1]% lifesteal and a [2]% boost to damage.</font>	h004d1b35g032ag4683g9ef5g5a8741a8bc90
Dome_LLWEAPONEX_Banner_Rally_Dwarves_DisplayName	<font color='#FF5522'>Rally of the Pack</font>	hd7b9c78bg40aeg4976g9d72g05bf704dfc33
Shout_LLWEAPONEX_Banner_Rally_Teleport_Description	Heed the rallying cry of the Standard-Bearer, teleporting to the raised banner.	h453d9d53gcdfdg4674g819fgbc0de4196a21
Shout_LLWEAPONEX_Banner_Rally_Teleport_DisplayName	<font color='#FEFFB3'>Heed the Call</font>	hd0713a40gde67g4c1cg8845g147372b53223
Shout_LLWEAPONEX_Banner_WarCharge_Description	Lead your allies into a strategic charge, increasing <font color="#9370DB">Movement Speed by [1]%</font>, <font color="#32CD32">Initiative by [2]</font>, and the <font color="#FF31FF">damage of the first attack by [3]%</font>.<br><font color="#58FFFA">Range of the War Charge scales with Leadership.</font>	h6762114bg6c18g4341gbddbg74de8166e47d
Shout_LLWEAPONEX_Banner_WarCharge_DisplayName	<font color='#FECCB3'>Chaaaarge!</font>	h7e863355g8b53g4c3fgb017g630f4be29b05
