Key	Content	Handle
Projectile_LLWEAPONEX_Blunderbuss_LaunchDud_Description	Launch a dud at a target position, dealing [1].<br><font color='#ffb526'>After 3 turns in combat (any source), the dud explodes for [2] in a [3] radius.</font><br><font color='#ff2626'>If the dud is destroyed before being fully armed, it deals [4] instead.</font>	h2817af00ge17eg4388g8d72g3a3d7481e757
Projectile_LLWEAPONEX_Blunderbuss_LaunchDud_DisplayName	<font color='#ff780b'>Deadly Dud</font>	he8a552ecg47b7g4686gaeaagbd7b2705c331
Projectile_LLWEAPONEX_Blunderbuss_Scattershot_Description	Fire a spread of 3 bullets at a target, dealing [1] per bullet.<br><font color='#44DD22'>If all 3 bullets hit the same target, knock them back 4m and deal an additional [SkillDamage:Projectile_LLWEAPONEX_Blunderbuss_Scattershot_BonusDamage].</font>	h95496922g423fg4f0cg9d2cg5c1769d4f106
Projectile_LLWEAPONEX_Blunderbuss_Scattershot_DisplayName	<font color='#11D77A'>Scattershot</font>	hccb78bb8gd9e5g40dagb0a2gfa442b5eec69
Projectile_LLWEAPONEX_Rifle_AimedShot_Description	Take a focused shot on a target, dealing <font color='#00FFAA'>[1]</font> to <font color='#00FFAA'>[2]</font>, depending on distance to the target.<br><font color='#33FF11'>If the target is <font color='#DD3300'>Marked</font>, deal a critical hit.</font><br><font color='#FFBB22'>Aimed Shot provides an immense accuracy boost to ensure it always hits.</font>	h16376b0fg0f4bg47daga654gaeac6b97ee3f
Projectile_LLWEAPONEX_Rifle_AimedShot_DisplayName	<font color='#11D77A'>Aimed Shot</font>	h1ca30c1agc63eg4be2g924dg1ffb2e444c10
Target_LLWEAPONEX_ElementalBullets_Description	Attune your firearm to the element of a target surface, <font color='#b54efe'>changing the damage type of weapon skills for 2 turns.</font>	hcdbd1173gf19bg4ef4gadb6g18022d9dfe9a
Target_LLWEAPONEX_ElementalBullets_DisplayName	Elemental Bullets	he1253aecg8871g4e7dgb1f8gd19d7dabb9e9
Zone_LLWEAPONEX_Blunderbuss_Cannonball_Description	Fire a massive, super-heated cannonball, dealing [1] to targets, knocking them down, and leaving behind a trail of <font color='#ff5b0b'>explosive fire clouds</font>.<br>At the end of the trail, the cannonball explodes for [2] in a [3] radius, applying <font color='#ff5b0b'>Necrofire</font> to targets hit for 1 turn.	h1035543cg81c3g43afg995cgdbf5cb3b3caa
Zone_LLWEAPONEX_Blunderbuss_Cannonball_DisplayName	<font color='#ff780b'>Lunatic's Cannonball</font>	h21e212d4gdf1cg43d2g973eg7db384a8921d
