Key	Content	Handle
LLWEAPONEX_Projectile_ThrowingKnife_Description	Throw a knife at your opponent, dealing [1].[2]	h5fdfca1dg8dd4g4cc3g9939g7433a38d4658
LLWEAPONEX_Target_CripplingBlow_Description	Cripple the target with a sweeping blow, and all characters around it. Deals [1].[2]	h41e991cbgbe00g4469g924bge4d4c73cffa2
LLWEAPONEX_Shout_Whirlwind_Description	Perform a whirlwind attack, hitting enemies around you for [1].[2]	h83e82e86g9f8cg47bdgb7cdgeae280223625
LLWEAPONEX_MasteryParam_ThrowingKnife	<font color='#F19824'>The knife thrown has a <font color='#CC33FF'>[1]%</font> to be coated in poison or explosive oil, dealing <font color='#00FFAA'>[2] bonus damage</font> on hit.</font>	hea8e7051gfc68g4d9dgaba8g7c871bbd4056
LLWEAPONEX_MasteryParam_CripplingBlow_SunderBonus	<font color='#F19824'>Sunder the armor of hit targets, <font color='#00FFAA'>reducing max Physical/Magic Armor by [1]%</font> for [2] turn(s).</font>	h1eb09384g6bfeg4cdaga83fgc408d86cfee4
LLWEAPONEX_MasteryParam_CripplingBlow_PiercingBonus	<font color='#F19824'>If the target is disabled, deal an additional [1].</font>	h46875020ge016g4eccg94ecgc9f5233c07fd
LLWEAPONEX_MasteryParam_CripplingBlow_SplashDamage	<font color='#F19824'>Deal an additional [1] in a [2]m radius around the target.</font>	h77dc5f0cga805g4e21ga44fg0a0f7ba0d23f
LLWEAPONEX_MasteryParam_CripplingBlow_SwordDebuff	<font color='#FF6624'>Targets hit deal <font color='#FF0000'>[1]% less damage</font> until their turn ends, while you deal <font color='#AA00FF'>[2]% more damage to them</font> until your turn ends.</font>	h52408aa9gab17g47c9g91b2g9c130cb33443
LLWEAPONEX_MasteryParam_Whirlwind_RuptureBonus	<font color='#803BFF'><font color='#DC143C'>Rupture</font> the wounds of <font color='#FF0000'>Bleeding</font> targets, dealing [1] for each turn of <font color='#FF0000'>Bleeding</font> remaining.</font>	h5ca24bfeg14f5g437fg92fag4708f87547de
LLWEAPONEX_MasteryParam_Whirlwind_ElementalWeakness	<font color='#9BF0FF'>Targets hit become weak to your weapon's element, gaining [1] for [2] turn(s).</font>	h0ee72b7cg5a84g4efcgb8e2g8a02113196e6
LLWEAPONEX_MasteryParam_Whirlwind_HandCrossbowBonus	<font color='#F19824'>While spinning, shoot 1-3 enemies in a [1]m radius, dealing [2].</font>	h665d9b1age332g4988gb57cgd1357c4c9af2
