Key	Content	Handle
Projectile_LLWEAPONEX_ChaosPentaSlash_Description	Unleash chaotic energy within the Chaos Edge, creating 5 random cone-shaped surfaces in a 60 degree arc infront of you.	h8853786fg4a4fg4f23g9fd1g02506c6802d4
Projectile_LLWEAPONEX_ChaosPentaSlash_DisplayName	Chaos Pentaslash	hb608d005g94e2g4a71g934cg1035eb782db0
Projectile_LLWEAPONEX_ChaosSlash_Description	Send out an beam of pure chaotic energy, dealing [1] and creating a <font color='#f7ba14'>random elemental surface</font> at the target.<br><font color='#FF22FF'>A surface also created beneath the beam as it travels.</font>	h94a156acgdfa3g4759ga11bg84a478dbbcba
Projectile_LLWEAPONEX_ChaosSlash_DisplayName	Chaos Slash	h0bce2460gea5cg42eaga781g0fa79906d7e6
Shout_LLWEAPONEX_ActivateRuneblade_Air_Description	Activate the <font color='#7d71d9'>Air Rune</font> within your <font color='#40E0D0'>Runeblade</font>, adding [1] to melee attacks.<br>Enemies hit have a 10% chance to become <font color='#7d71d9'>Shocked</font> for 1 turn.<br><font color='#4197e2'>Wet increases this chance to 50%.</font>	h8a6cbb9ag679fg453ega509g5dd16d2ed7ef
Shout_LLWEAPONEX_ActivateRuneblade_Air_DisplayName	Activate <font color='#7d71d9'>Air Rune</font>	ha755a81agdc09g4b57ga391gde04e4395bd0
Shout_LLWEAPONEX_ActivateRuneblade_Chaos_Description	Activate the <font color='#b823cb'>Chaos Rune</font> within your <font color='#40E0D0'>Runeblade</font> to <font color='#ffab00'>absorb the elements of surfaces within 1.5m</font>.<br>Absorbed elements are then activated as if you had a Runes of that type.<br><font color='#ffab00'>Surfaces</font> of the following <font color='#73f6ff'>elements</font> can be absorbed:<br><font color='#fe6e27'>Fire</font>, <font color='#4197e2'>Water</font>, <font color='#cfecff'>Ice</font>, <font color='#7d71d9'>Electrified Water</font>, <font color='#7f3d00'>Oil</font>, <font color='#65c900'>Poison</font>, and <font color='#8B0000'>Blood</font>.	h44c2dcd1g474ag44c4ga7f3ge932c9ab3654
Shout_LLWEAPONEX_ActivateRuneblade_Chaos_DisplayName	Activate <font color='#b823cb'>Chaos Rune</font>	h393d0084gbc8cg4291gb02ege218a1abaa66
Shout_LLWEAPONEX_ActivateRuneblade_Earth_Description	Activate the <font color='#7f3d00'>Earth Rune</font> within your <font color='#40E0D0'>Runeblade</font>, adding [1] to melee attacks.<br>Enemies hit have a 20% chance to be <font color='#a8a8a8'>Slowed</font> for 1 turn.	h768b67e9g819bg4c88ga9e1gcf1740fc11c4
Shout_LLWEAPONEX_ActivateRuneblade_Earth_DisplayName	Activate <font color='#7f3d00'>Earth Rune</font>	h29b88cbdgcf34g4e8bg92fag54c3db611627
Shout_LLWEAPONEX_ActivateRuneblade_Fire_Description	Activate the <font color='#fe6e27'>Fire Rune</font> within your <font color='#40E0D0'>Runeblade</font>, adding [1] to melee attacks.<br>Applies <font color='#fe6e27'>Burning</font> to enemies hit for 1 turn.	hf1e05614g2d6cg4d27g8a8bg866e9ce3d338
Shout_LLWEAPONEX_ActivateRuneblade_Fire_DisplayName	Activate <font color='#fe6e27'>Fire Rune</font>	h5266cde0g6ce8g45e1gbab6g2ca4b3fbb101
Shout_LLWEAPONEX_ActivateRuneblade_Ice_Description	Activate the <font color='#4197e2'>Ice Rune</font> within your <font color='#40E0D0'>Runeblade</font>, adding [1] to melee attacks.<br>Applies <font color='#4197e2'>Chilled</font> to enemies hit for 1 turn. Enemies already <font color='#4197e2'>Chilled</font> have a 20% chance to become <font color='#73f6ff'>Frozen</font>.	h0f0aca8cg237bg4696gb195gbd43e7378fd4
Shout_LLWEAPONEX_ActivateRuneblade_Ice_DisplayName	Activate <font color='#4197e2'>Ice Rune</font>	ha870a02ag06fbg4202gbc1ag4e9b7e14d70b
Shout_LLWEAPONEX_ActivateRuneblade_Poison_Description	Activate the <font color='#65c900'>Poison Rune</font> within your <font color='#40E0D0'>Runeblade</font>, adding [1] to melee attacks.<br>Applies <font color='#00aa00'>Poisoned</font> to enemies hit for 1 turn.	h0b38b148g2ea5g4a95g9ff7gae932c7d05b1
Shout_LLWEAPONEX_ActivateRuneblade_Poison_DisplayName	Activate <font color='#65c900'>Poison Rune</font>	he41dc011g2650g4028gac48g2a417ee460c7
Shout_LLWEAPONEX_ActivateRuneblade_Water_Description	Activate the <font color='#4197e2'>Water Rune</font> within your <font color='#40E0D0'>Runeblade</font>, adding [1] to melee attacks.<br>Applies <font color='#4197e2'>Wet</font> to enemies hit for 1 turn.	h17e56658gbfa0g46e5ga131gf4ce2d1f425a
Shout_LLWEAPONEX_ActivateRuneblade_Water_DisplayName	Activate <font color='#4197e2'>Water Rune</font>	h29d30edeg0e92g453ag95begcea9915f2e6d
Shout_LLWEAPONEX_Runeblade_RunicReverb_Description	<font color='#40E0D0' size='18'>Runeblade Mastery</font><br>Reverberate the last active rune or rune combination, applying it for 2 turns.	h0c9e00adgb092g4689g9b8dg5eb400da05af
Shout_LLWEAPONEX_Runeblade_RunicReverb_DisplayName	Runic Reverb	h50ff0f9cgaf03g4842g9697gacd91fe6f4d9
Target_LLWEAPONEX_Runeblade_PoisonBurst_Description	Explode a <font color='#00aa00'>Poisoned</font> target, dealing [1] and an additional explosion of <font color='#00aa00'>Poison Damage</font> to enemies in a 3m-6m range.<br>The explosion damage scales with the target's <font color='#00aa00'>Poisoned</font> duration:<br>1 Turn: [2]<br>2 Turns: [3]<br>3 Turns: [4]<br>4 Turns: [5]<br> 5 Turns: [6]<br> 6 Turns: [7]	hc564f7f1g956ag41f5ga4b8g16b9ddd77f45
Target_LLWEAPONEX_Runeblade_PoisonBurst_DisplayName	<font color='#69f900'>Poison Burst</font>	hc1dc0051gd74eg4fe9g8149g86be7fe4e201
