Key	Content	Handle
Projectile_LLWEAPONEX_Throw_Base_Description	Throw a weapon at a target for [1].	h2338d7a1ged4eg44f1gbce1g30afe9499057
Projectile_LLWEAPONEX_Throw_Base_DisplayName	Throw Weapon	h50853c8cg2215g4f9fg8ab9g4cc10b4309cc
Projectile_LLWEAPONEX_Throw_Blunt_Description	Throw a blunt weapon at a target for [1]. Applies <font color='#FF0000'>Dazed</font> and <font color='#FF0000'>Blunt Trauma</font>, with a chance to knock the enemy down.<br><font color='#FF0000'>Dazed</font> lowers Accuracy by <font color='#FF0000'>[2]%</font> per stack.<br><font color='#FF0000'>Blunt Trauma</font> lowers Movement Speed by <font color='#FF0000'>[3]</font>, Dodge by <font color='#FF0000'>[4]</font>, and does [5] per turn.	h2e4ae01dga602g44e9gbd2eg7fd388dcb6b0
Projectile_LLWEAPONEX_Throw_Chair_Description	Throw a chair weapon at a target for [1]. Applies <font color='#FF0000'>Dazed</font> and <font color='#FF0000'>Blunt Trauma</font>, with a chance to knock the enemy down.<br><font color='#FF0000'>Dazed</font> lowers Accuracy by <font color='#FF0000'>[2]%</font> per stack.<br><font color='#FF0000'>Blunt Trauma</font> lowers Movement Speed by <font color='#FF0000'>[3]</font>, Dodge by <font color='#FF0000'>[4]</font>, and does [5] per turn.	h4367cc22g9d4fg4c99ga1dfgc210f7915de3
Projectile_LLWEAPONEX_Throw_Chair_DisplayName	Throw Chair	h58e320c5ge336g41a2g97b2ge27371f5bdbd
Projectile_LLWEAPONEX_Throw_Flask_DisplayName	Throw Flask	hd3b59f07g0a4ag4768g84b2gcfa58b88bf43
Projectile_LLWEAPONEX_Throw_Flask_Weakness_Air_Description	Throw the flask at the target position, dousing objects hit in a nasty liquid that lowers <font color='#7478DC'>Air Resistance</font> by <font color='#DD0000'>[1]%</font> for 2 turns.	h5304943bgd025g4077ga3adg9c7b5cfd3d29
Projectile_LLWEAPONEX_Throw_Flask_Weakness_Chaos_Description	Throw the flask at the target position, dousing objects hit in a nasty liquid that lowers <font color='#D040D0'>All Resistances</font> by <font color='#DD0000'>[1]%</font> for 2 turns.	h4e990fe9g1ffcg46ecga18fg891f812ef7c0
Projectile_LLWEAPONEX_Throw_Flask_Weakness_Earth_Description	Throw the flask at the target position, dousing objects hit in a nasty liquid that lowers <font color='#AA895B'>Earth Resistance</font> by <font color='#DD0000'>[1]%</font> for 2 turns.	h05128ff7g92f6g4379ga203g9c684ef02fcc
Projectile_LLWEAPONEX_Throw_Flask_Weakness_Fire_Description	Throw the flask at the target position, dousing objects hit in a nasty liquid that lowers <font color='#C76537'>Fire Resistance</font> by <font color='#DD0000'>[1]%</font> for 2 turns.	ha451f720g9544g4dd0gbb07g4e01903b4d42
Projectile_LLWEAPONEX_Throw_Flask_Weakness_Poison_Description	Throw the flask at the target position, dousing objects hit in a nasty liquid that lowers <font color='#00AA00'>Poison Resistance</font> by <font color='#DD0000'>[1]%</font> for 2 turns.	h7b8060d1gb4f3g4cfagbed5gb96e60122001
Projectile_LLWEAPONEX_Throw_Flask_Weakness_Water_Description	Throw the flask at the target position, dousing objects hit in a nasty liquid that lowers <font color='#188EDE'>Water Resistance</font> by <font color='#DD0000'>[1]%</font> for 2 turns.	ha8811aa0g9969g4340g97f7g4e6cbe7ff3eb
Projectile_LLWEAPONEX_Throw_Impale_Description	Throw a bladed weapon at a target for [1]. Applies <font color='#FF0000'>Impaled</font> and <font color='#FF0000'>Internal Damage</font>.<br><font color='#FF0000'>Impaled</font> lowers Movement Speed by <font color='#FF0000'>[2]%</font> per weapon stuck inside the enemy.<br><font color='#FF0000'>Internal Damage</font> lowers AP Recovery/Start/Maximum by <font color='#FF0000'>[3]</font>, and does [4] per turn.	h2b4c15f8g00c6g4a50gbc9aga0f9b29f1116
Projectile_LLWEAPONEX_Throw_Rock_Description	Throw a stone at a target for [1], with a chance to give them a <font color='#FF0000'>Concussion</font>.<br>Enemies suffering from a <font color='#FF0000'>Concussion</font> have a small chance to <font color='#FF8C00'>Fumble</font> their basic attacks.	hd1babc39g64eag4b4ag9127g182678705d17
Projectile_LLWEAPONEX_Throw_Rock_DisplayName	Throw Stone	hbe73c99dg8a94g45f6ga7b7g23923104849b
Projectile_LLWEAPONEX_Throw_Rock_Kevin_Description	Throw <font color='#c5a65a'>Kevin</font> at a target for [1], with a chance to give them a <font color='#FF0000'>Concussion</font>.<br>Enemies suffering from a <font color='#FF0000'>Concussion</font> have a small chance to <font color='#FF8C00'>Fumble</font> their basic attacks.<br><font color='#c5a65a'>Kevin</font> will ricochet to hit [2] additional enemies in a [3] radius.	h0cbde0a1ge3a8g45ecg9803ga33c8e9b5f19
Projectile_LLWEAPONEX_Throw_Rock_Kevin_DisplayName	Throw Kevin	h3e1febb1gd40cg4c70g9e11g949c0de6bc87
Projectile_LLWEAPONEX_Throw_Rock_Kevin_Nails_Description	Throw <font color='#c5a65a'>Kevin</font> at a target for [1].<br>If <font color='#c5a65a'>Kevin's</font> target is already <font color='#FF0000'>Bleeding</font>, their wound will <font color='#DC143C'>Rupture</font>, dealing [2] initially and per turn.<br><font color='#c5a65a'>Kevin</font> will ricochet to hit [3] additional enemies in a [4] radius.	h3a48d368gf0f4g4b7agac88gf8888ea71945
Projectile_LLWEAPONEX_Throw_Rock_Kevin_Oil_Description	Throw <font color='#c5a65a'>Kevin</font> at a target for [1].<br>If <font color='#c5a65a'>Kevin's</font> target is <font color='#fe6e27'>Burning</font>, mini-explosions will occur, hitting enemies for [2] in a [3] radius.<br><font color='#c5a65a'>Kevin</font> will ricochet to hit [4] additional enemies in a [5] radius.	h5c237b8ag5bf3g42c4gb5e7g0f4daaae915c
Projectile_LLWEAPONEX_Throw_Rock_Kevin_Poison_Description	Throw <font color='#c5a65a'>Kevin</font> at a target for [1].<br>If <font color='#c5a65a'>Kevin's</font> target is <font color='#fe6e27'>Burning</font>, mini-explosions will occur, hitting enemies for [2] in a [3] radius.<br><font color='#c5a65a'>Kevin</font> will ricochet to hit [4] additional enemies in a [5] radius.	h97c8f9a5g8aa0g49f2g9815g538cba0b8405
