Key	Content	Handle
Cone_LLWEAPONEX_SoulHarvest_Reap_Description	Reap the battlefield, dealing [1] to enemies in an arc.<br><font color='#CD39C0'>Slain enemies provide a permanent, stacking damage bonus and restore <font color='#80FFC3'>source points</font>.</font>	h2d8ac924gda32g41c1ga3c9g18e20e1d9bd6
Cone_LLWEAPONEX_SoulHarvest_Reap_DisplayName	<font color='#80FFC3'>Soul Harvest</font>	hf33cdaccgc14bg4cdegaa50g800a6c761add
Projectile_LLWEAPONEX_ArmCannon_Shoot_Description	Fire a concentrated mass of energy at a target, dealing [1] in a [2] radius.<br><font color='#00EECC'>Applies any active rune effects on hit.</font>	ha942de52g11edg49e8gae4fgfc0015bdf289
Projectile_LLWEAPONEX_ArmCannon_Shoot_DisplayName	<font color='#03fcdb'>Fire Runic Energy</font>	heef6c1ddg33f9g42b5g8525g1aa889215a3d
Rush_LLWEAPONEX_AnvilMace_GroundSmash_Description	Leap forward and slam the almighty <font color='#c5a65a'>Anvilmar</font> into the ground, cracking the earth for [1] in a [2] radius, and knocking targets up.<br><font color='#BB5533'>Targets landing take [3] to [4] damage upon landing, depending on the launch height.</font><br><font color='#FF00CC'>The impact radius begins where from your anvil hits the ground, which is 2m infront of your landing position.</font>	h8e770ac0gc6b4g4fa7gbe06gc010adeb6938
Rush_LLWEAPONEX_AnvilMace_GroundSmash_DisplayName	<font color='#FFDD00'>Sunder the Mountain</font>	h5382a04agef53g4d1eg942cg623f149e990d
Rush_LLWEAPONEX_Warchief_Whirlwind_Description	Spin forward with the <font color='#c5a65a'>Warchief's Halberd</font>, hitting enemies in a [1] radius for [2].	hf7df1b3ag9bd6g4d6agbef6gd2fab51a9782
Rush_LLWEAPONEX_Warchief_Whirlwind_DisplayName	Warchief's Whirlwind	h19fa14e3gfea2g49b5gb88dg59e51fa3e21c
Shout_LLWEAPONEX_Bokken_ChangeStance_Description	Swap between two-handed and single-handed styles with the <font color='#c5a65a'>[Key:WPN_UNIQUE_LLWEAPONEX_Bokken_1H_A_DisplayName]</font>.	h670d368ag009fg4991gb535ge3720fb99f2f
Shout_LLWEAPONEX_Bokken_ChangeStance_DisplayName	<font color='#00EE29'>Change Stance</font>	h31211dd3gf8eeg4d5bgb7ffg36e10368f488
