Key	Content	Handle
LLWEAPONEX_ARMCANNON_CHARGED_Description	The <font color='#c5a65a'>Runic Cannon</font> is charged and ready to disperse stored energy."	h10dce197g7a65g4923ga8b1g58f5ec28306d
LLWEAPONEX_ARMCANNON_CHARGED_DisplayName	Charged (Runic Cannon)	h818a634cg4f07g431cga226g09dcdfbc45dc
LLWEAPONEX_ARMCANNON_RANGED_HIT_DisplayName	Deals Shadow Damage to broken Magic Armour.	hd0b7916bgcc5eg4739gb35fge74c48acf1b2
LLWEAPONEX_BANNER_RALLY_Description	Character is rallying the party to battle.	h271090b1g4c5bg4ccbg8928gf421b8476af4
LLWEAPONEX_BANNER_RALLY_DisplayName	Rallying	h66ea9bb3g8724g4001gb9acgccf4a5696829
LLWEAPONEX_BANNER_RALLY_DIVINEORDER_AURABONUS_Description	Character is inspired by the <font color='#c5a65a'>Banner of Unruly Faith</font>. How glorious!	h85ba1d14g532dg4a0cg9a29gf1980a445150
LLWEAPONEX_BANNER_RALLY_DIVINEORDER_AURABONUS_DisplayName	<font color='#FEFFB3'>Rally of the Divine</font>	hf3088c78gafa6g4b23ga6b2g65d07edc7440
LLWEAPONEX_BANNER_RALLY_DWARVES_AURABONUS_Description	Character is inspired by the <font color='#c5a65a'>Banner of the Pack</font>. Ferocity is unleashed.	h103f5af9g1796g4ba0gb403gdb5007789fb1
LLWEAPONEX_BANNER_RALLY_DWARVES_AURABONUS_DisplayName	<font color='#FF5522'>Rally of the Pack</font>	hcb3086d4g369ag41d7ga4c1g71c0a33ec6cc
LLWEAPONEX_BATTLEBOOK_SPELLSCROLL_ELEMENT_Description	Character's oversized scroll has been infused with a spell school, and has gained bonus damage.	hf3f86a5egb3e2g495bg867fg9328c965296b
LLWEAPONEX_BATTLEBOOK_SPELLSCROLL_HIT_READY_Description	Character's next attack with their oversized scroll will unleash a random spell and grant bonus damage.	h1538fbc9g097ag44f1gb22cg855cafd72989
LLWEAPONEX_BATTLEBOOK_SPELLSCROLL_HIT_READY_DisplayName	Bada Bing	hbe7e4dd2g827ag43a3g8c13g184fd0a01f69
LLWEAPONEX_BEER_CHAMPION_Description	Character never gets sleepy while drinking alcohol.	h7baf56beg6176g4aa3ga091ge282f1da2c52
LLWEAPONEX_BEER_CHAMPION_DisplayName	Champion of Beer	hdb60b6b5gd43cg4510g88f5g54966bad0b2e
LLWEAPONEX_CHAOS_POWER_Description	Character wields the power of Chaos. When hit, a random elemental surface is spawned.	hef1d7637g0c58g43a6gad84gf42a91fd0312
LLWEAPONEX_CHAOS_POWER_DisplayName	Chaotic Power	hd90b1d2cg51b0g4cf3g9349g438c8aca171a
LLWEAPONEX_CONCUSSION_Description	Character has a serious concussion.<br>Small chance on each basic attack to <font color='#FF8C00'>Fumble</font>, interrupting the attack.	h61d85a55gfadfg417dgb2d0gfc2c1f9a470d
LLWEAPONEX_CONCUSSION_DisplayName	Concussion	h43cc06a4g9bcdg44b6g88ffgfc91981571dc
LLWEAPONEX_COPYLASTSKILL_DisplayName	Copy Last Skill	hf7d36abdgcfecg4dc7g87d9gc83429c277a0
