Key	Content	Handle
LLWEAPONEX_BULLETS_AIR_Description	Character's firearm is attuned to electricity/air.	h5afa4bdfg6952g41f5ga490g7682e5c264e6
LLWEAPONEX_BULLETS_AIR_DisplayName	Electric Bullets	h58ada9c4g3932g43f3g9f2dg4972e1dfad4b
LLWEAPONEX_BULLETS_BLOOD_Description	Character's firearm is attuned to blood.	h5b132a5cg9c3ag4905g884dg4e814fbef78e
LLWEAPONEX_BULLETS_BLOOD_DisplayName	Blood Bullets	h8ed077b7gfbccg48ebg8605ge999dc08df28
LLWEAPONEX_BULLETS_EARTH_Description	Character's firearm is attuned to earth.	h0cb99d43g74b0g4053g90f1gd689f4831231
LLWEAPONEX_BULLETS_EARTH_DisplayName	Earth Bullets	h63f63bfcgcaeeg4ee8g8768g2f47697cb253
LLWEAPONEX_BULLETS_FIRE_Description	Character's firearm is attuned to fire.	hcbfb9dbdg1456g4d5fg8efagd22f80473d29
LLWEAPONEX_BULLETS_FIRE_DisplayName	Fire Bullets	h34f6772egc119g46b0g894age91618dddca1
LLWEAPONEX_BULLETS_ICE_Description	Character's firearm is attuned to ice.	h4752734dg8d97g4a1eg9ef2g6c089c8a27fc
LLWEAPONEX_BULLETS_ICE_DisplayName	Ice Bullets	hff1e38f6g8441g4fe4ga450g8d536e1b5db7
LLWEAPONEX_BULLETS_POISON_Description	Character's firearm is attuned to poison.	h829a795dgcb60g48aeg80fcg142128fca58c
LLWEAPONEX_BULLETS_POISON_DisplayName	Poison Bullets	h66a4c7d4gd550g4308gb159g1ca48d8c4f08
LLWEAPONEX_BULLETS_WATER_Description	Character's firearm is attuned to water.	hd3b6672fg6ce7g4597gae76gbc73eb4701bb
LLWEAPONEX_BULLETS_WATER_DisplayName	Water Bullets	h1f790598ge6e1g4395gb403gcf5ffb39d1f3
LLWEAPONEX_FIREARM_AIMEDSHOT_HIT_DisplayName	Aimed Shot (Distance Damage)	h01f28833g2ba1g4e8dgaeccge79ea00aae94
