Key	Content	Handle
LLWEAPONEX_KATANA_COMBO1_Description	Character has been hit by a Blademaster's strike.<br><font color='#D66565'>Removed when the attacker's turn ends.</font>	ha05ebf00g32e8g4598g839cg6f272357ac3b
LLWEAPONEX_KATANA_COMBO1_DisplayName	Blademaster's Strike	h04fa61c6gcce7g4790gb3edgd8a321a6613e
LLWEAPONEX_KATANA_COMBO2_Description	Character has been hit by a Blademaster's strike 2 times.<br><font color='#D66565'>Removed when the attacker's turn ends.</font>	ha4f50091g7b01g4351gb17eg1dceb9f6cc85
LLWEAPONEX_KATANA_COMBO2_DisplayName	Blademaster's Strike 2	h8ea5f0f3ga212g4a36g8edcg55ba5daf97a9
LLWEAPONEX_KATANA_COMBO3_Description	Character has been hit by a Blademaster's strike 3 times.<br><font color='#D66565'>Removed when the attacker's turn ends.</font>	ha217d9c5g03e8g49d8g903fgcc3ced117f7a
LLWEAPONEX_KATANA_COMBO3_DisplayName	Blademaster's Strike 3	h6662f4beg5cbfg4148g9df2g9f1ebbb63d0b
LLWEAPONEX_KATANA_COMBO4_Description	Character has been hit by a Blademaster's strike 4 times.<br><font color='#D66565'>Removed when the attacker's turn ends.</font>	hdbb9b097gd260g4c7cgafe9gba43e78c2cca
LLWEAPONEX_KATANA_COMBO4_DisplayName	Blademaster's Strike 4	ha9eedff5gd7efg43ffgb6ccge3bcc3f5375d
LLWEAPONEX_KATANA_COMBO5_Description	Character has been hit by a Blademaster's strike 5 times.<br><font color='#D66565'>Removed when the attacker's turn ends.</font>	h8b079720gd454g4ecdgaa70g18cf5b9aea5d
LLWEAPONEX_KATANA_COMBO5_DisplayName	Blademaster's Strike 5	h35ad18c6g01dbg47e0g9be9g7ec0412ca64e
LLWEAPONEX_KATANA_COMBO6_Description	Character has been hit by a Blademaster's strike 6 times.<br><font color='#D66565'>Removed when the attacker's turn ends.</font>	h83c84479gdaceg4a72g8557g4515ba2ce106
LLWEAPONEX_KATANA_COMBO6_DisplayName	Blademaster's Strike 6	habde1189gafbbg45ffga44dgb30b22f73063
LLWEAPONEX_KATANA_COMBO7_Description	Character has been hit by a Blademaster's strike 7 times.<br><font color='#D66565'>Removed when the attacker's turn ends.</font>	h5118ff18g36a6g4784g8e45gf5f494c276dd
LLWEAPONEX_KATANA_COMBO7_DisplayName	Blademaster's Strike 7	h44e46308g8f4dg4357gaac4g1d50a425d36a
LLWEAPONEX_KATANA_COMBO8_Description	Character has been hit by a Blademaster's strike 8 times.<br><font color='#D66565'>Removed when the attacker's turn ends.</font>	hdf5b7093g8e17g486eg943eg177d47409524
LLWEAPONEX_KATANA_COMBO8_DisplayName	Blademaster's Strike 8	h8dbbf0f1g09edg44a3g8fd3gaab2c07f4066
LLWEAPONEX_KATANA_COMBO9_Description	Character has been hit by a Blademaster's strike 9 times.<br><font color='#D66565'>Removed when the attacker's turn ends.</font>	h6b5c3046gb028g4fdegb14bg46b42cd9b271
LLWEAPONEX_KATANA_COMBO9_DisplayName	Blademaster's Strike 9	h4034995fg479cg46a0ga583g7709a973e538
LLWEAPONEX_KATANA_FINISHER_APPLY_DisplayName	Finisher - Temporarily apply a piercing vulnerability to dying targets	h8bb89a75g077fg4696gb9a0gcf0dd14d19bb
LLWEAPONEX_KATANA_FINISHER_Description	Character's <font color='#c80030'>Piercing Resistance</font> lowers as <font color='#DC143C'>Vitality</font> drops. Removed after Attacker's turn ends.	h9090fd98g526dg47a4ga784ga9a53c0aea01
LLWEAPONEX_KATANA_FINISHER_DisplayName	Finisher	hebda15e3gb225g4115ga087g542707bf4c87
LLWEAPONEX_HELMSPLITTER_Description	Character's armor is lowered.	hc6ede420gd7adg42edg9ea6g8d0821e4590d
LLWEAPONEX_HELMSPLITTER_DisplayName	Armor Break	ha8c93effg30e8g4c95gb463g2bca95974279
