Key	Content	Handle
LLWEAPONEX_MASTERYBONUS_SUNDER_DisplayName	Sundered	h57a0af07geaa7g421egab54gb706c645de98
LLWEAPONEX_MASTERYBONUS_SUNDER_Description	Character's max armor is temporarily decreased.	h7f0ed2c6g0912g4e04g9212g0d8d8e9633d6
LLWEAPONEX_MASTERYBONUS_BLOCK_DisplayName	Blocking	hda08f9b7g2052g4078g9d38g8937db6d326f
LLWEAPONEX_MASTERYBONUS_BLOCK_Description	Character will block the next direct attack.	h79079ad8gd6c8g452ag84cbg1df8ccdd5e95
LLWEAPONEX_MASTERYBONUS_VULNERABLE_DisplayName	Vulnerable	hbe25a690g42bag444fga5b5g368750273a9b
LLWEAPONEX_MASTERYBONUS_VULNERABLE_Description	<font color='#FF001F'>Character is vulnerable to a follow-up attack, which will deal [1] on hit.</font><br><font color='#FF337F'>Removed when the attacker's turn ends.</font>	h932f8db4g9c0bg4ae9gb715g3bc71166f5e7
LLWEAPONEX_MASTERYBONUS_FIREARM_TACTICS_DisplayName	Tactics	heafd775cg148dg45e9g87feg747b2d938754
LLWEAPONEX_MASTERYBONUS_FIREARM_TACTICS_Description	Character's next action is reduced by [1] AP.	h478d282egda0ag4900g9771gdead5d66b1b7
Stats_LLWEAPONEX_MasteryBonus_Banner_LeadershipBonus	Tactics	h1bfbbfb7g6525g4016ga0f7g2268e5e3db06
LLWEAPONEX_BANNER_TURNDELAYPROTECTION_DisplayName	Banner Protection	h22660e99g8542g4966gb446g0caff46a2daf
LLWEAPONEX_BANNER_TURNDELAYPROTECTION_Description	Character is taking reduced damage until their next turn.	hf969c08agb2ffg41adgaa24gcd006e8e92c0
Stats_LLWEAPONEX_Banner_TurnDelayProtection	Banner Protection	hbe92489bgf77dg4af5g9cfbg2c05c28c5535
LLWEAPONEX_MASTERYBONUS_BANNER_LEADERSHIPBONUS_DisplayName	Inspiration	h87871f97gb8c0g4df4g8920g157e54180e46
LLWEAPONEX_MASTERYBONUS_BANNER_LEADERSHIPBONUS_Description	Character is inspired by Leadership in the presence of a banner.	
Stats_LLWEAPONEX_MasteryBonus_Banner_LeadershipBonus	Inspiration	h91df6fefg6cb4g4f27ga116g992a6a2e4774
