Key	Content	Handle
LLWEAPONEX_ACTIVATE_RUNEBLADE_AIR_Description	Character has activated the <font color='#7d71d9'>Air Rune</font> within their <font color='#40E0D0'>Runeblade</font>.<br>Enemies hit have a 10% chance to become <font color='#7d71d9'>Shocked</font> for 1 turn.<br><font color='#4197e2'>Wet increases this chance to 50%.</font>	h0036c310g95a5g42e7gb715g06c09e6a4079
LLWEAPONEX_ACTIVATE_RUNEBLADE_AIR_DisplayName	Air Rune	h57fe3569g0a44g4321g98b5g9aec8d3d24a9
LLWEAPONEX_ACTIVATE_RUNEBLADE_AVALANCHE_Description	<font size='18'><font color='#4197e2'>Water Rune</font> + <font color='#7f3d00'>Earth Rune</font></font><br>Enemies hit have a <font color='#cfecff'>40% chance to be encased in Snow</font>, lowering <font color='#FF0000'>AP Recovery/Start by [1]</font>, <font color='#FF0000'>Movement Speed by [2]%</font>, and dealing <font color='#4197e2'>Water Damage</font> with a chance to fall down when moving.<br>Adds <font color='#4197e2'>Water Damage</font> and <font color='#7f3d00'>Earth Damage</font> to weapon attacks and skills.	h5933a5e2gcacfg4408g924fg56a10d7a3c1a
LLWEAPONEX_ACTIVATE_RUNEBLADE_AVALANCHE_DisplayName	Avalanche Rune	h286ef794g72f7g4b59gaa20geaf4bbdeabc6
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_AIR_Description	<font size='18'><font color='#8B0000'>Blood Rune</font> + <font color='#7d71d9'>Air Rune</font></font><br>Melee attacks restore Vitality to allies within [1]m.<br>Adds <font color='#8B0000'>Piercing Damage</font> and <font color='#7d71d9'>Air Damage</font> to weapon attacks and skills.	h57e57a5cge010g47bdgb9adg632266ea2ad2
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_AIR_DisplayName	Bloodstorm Rune	h92dad7ecg6151g443bgac50g8826a2c37ee8
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_Description	Character has absorbed <font color='#8B0000'>Blood</font> after activating the <font color='#b823cb'>Chaos Rune</font> within their <font color='#40E0D0'>Runeblade</font>. 20% chance to apply <font color='#FF0000'>Bleeding</font> to enemies hit for 1 turn (Resisted by Magic Armor).	h04bdfb08g5e31g42a7g8bcdge5b12d07cb4e
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_DisplayName	Blood Rune	h55d9d222ga743g4e67ga443g9af0994c1f63
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_EARTH_Description	<font size='18'><font color='#8B0000'>Blood Rune</font> + <font color='#7f3d00'>Earth Rune</font></font><br>Deals additional damage when attacking Undead, with a 10% chance to <font color='#b823cb'>Entangle</font> enemies hit for 1 turn.<br>Entangle's chance is increased to 50% when attacking the Undead.<br>Adds <font color='#8B0000'>Piercing Damage</font> and <font color='#7d71d9'>Earth Damage</font> to weapon attacks and skills.	hb7aab313g204ag4e87g9013gb0a170ce0442
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_EARTH_DisplayName	Grave Rune	h3acfd1eegad00g408dg84a5g8b93ec313b78
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_FIRE_Description	<font size='18'><font color='#8B0000'>Blood Rune</font> + <font color='#fe6e27'>Fire Rune</font></font><br>Enemies attacked with a <font color='#40E0D0'>Runeblade</font> are inflicted with <font color='#73f6ff'>Soul Burn</font>, taking damage on apply and turn, and lowering <font color='#f7ba14'>Elemental Resistance</font> by 5% per stack (5 max).<br>Adds <font color='#8B0000'>Piercing Damage</font> and <font color='#fe6e27'>Fire Damage</font> to weapon attacks and skills.	h1af27c93ga0f3g479agac8dg282c02175787
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_FIRE_DisplayName	Soul Rune	h4daee89cg04bfg4646g839cga7add594aa6e
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_PLUS_Description	<font size='18'><font color='#8B0000'>Blood Rune</font> x 2</font><br>Every third basic attack grants a <font color='#8B0000'>Congealed Blood Ball</font>, which can be thrown to create a blood surface.	h2896b037geda2g4458ga782ga27dc02db941
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_PLUS_DisplayName	Necromantic Rune	hf7ca937egee27g4155g809eg116c52ef4a32
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_POISON_Description	<font size='18'><font color='#8B0000'>Blood Rune</font> + <font color='#65c900'>Poison Rune</font></font><br>40% chance to apply <font color='#00aa00'>Infectious Disease</font> on enemies hit for 1 turn.<br>Adds <font color='#8B0000'>Piercing Damage</font> and <font color='#65c900'>Poison Damage</font> to weapon attacks and skills.	h69054861ga9f7g48dfg8370gd3ec17d5600e
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_POISON_DisplayName	Disease Rune	hecaaf2eagccccg458cg9236g0c290cef59ee
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_WATER_Description	<font size='18'><font color='#8B0000'>Blood Rune</font> + <font color='#4197e2'>Water Rune</font></font><br>Regenerates <font color='#8B0000'>Vitality</font> on application and turn.<br>Adds <font color='#8B0000'>Piercing Damage</font> and <font color='#4197e2'>Water Damage</font> to weapon attacks and skills.	h7c052b1cgbc48g48c0g957eg69805d3ddf48
LLWEAPONEX_ACTIVATE_RUNEBLADE_BLOOD_WATER_DisplayName	Lifeblood Rune	h6dda1c3fgd618g4160g87beg71885174333f
LLWEAPONEX_ACTIVATE_RUNEBLADE_CHAOS_Description	Character has activated the <font color='#b823cb'>Chaos Rune</font> within their <font color='#40E0D0'>Runeblade</font>, and is absorbing an element in the environment.	h7ab36fd4g988bg4957ga23eg01421bded2c9
LLWEAPONEX_ACTIVATE_RUNEBLADE_CHAOS_DisplayName	Absorb Surface Element	hf64d955dg59deg42d5gb41cgcd64e621ccff
LLWEAPONEX_ACTIVATE_RUNEBLADE_CONDUCTION_Description	<font size='18'><font color='#4197e2'>Water Rune</font> + <font color='#7d71d9'>Air Rune</font></font><br>Applies <font color='#7d71d9'>Shocked</font> to <font color='#4197e2'>Wet</font> enemies for 1 turn, otherwise <font color='#4197e2'>Wet</font> is applied for 1 turn.<br><font color='#7d71d9'>Attacking a Shocked or Stunned enemy sends out a jolt of electricity to other enemies within 8m.</font><br><font color='#f7ba14'>When Shocked is applied, that enemy gets Shock Resistance, preventing Shocked from being applied by Runeblades for 3 turns.</font><br>Adds <font color='#4197e2'>Water Damage</font> and <font color='#7d71d9'>Air Damage</font> to weapon attacks and skills.	h09ef58e3g0c75g456ag95a2g7dbf3900e2e7
LLWEAPONEX_ACTIVATE_RUNEBLADE_CONDUCTION_DisplayName	Conduction Rune	heae6a50fg68ceg4889g83b5gac0ef4eeaf67
LLWEAPONEX_ACTIVATE_RUNEBLADE_CONTAMINATION_Description	<font size='18'><font color='#4197e2'>Water Rune</font> + <font color='#65c900'>Poison Rune</font></font><br>If an attacked target is <font color='#00aa00'>Poisoned</font>, the poison spreads to nearby enemies within [1]m.<br>If the enemies the poison spreads to are already <font color='#00aa00'>Poisoned</font>, the contamination continues.<br>Adds <font color='#4197e2'>Water Damage</font> and <font color='#8B0000'>Poison Damage</font> to weapon attacks and skills.	h8ad78b3bg54fbg4467g9cddgbcef7f45c78c
LLWEAPONEX_ACTIVATE_RUNEBLADE_CONTAMINATION_DisplayName	Contamination Rune	ha9ff4a2dg2cddg4ef0gb7ffgc57c5426aeea
LLWEAPONEX_ACTIVATE_RUNEBLADE_DEATH_Description	Character has activated the <font color='#b823cb'>Death Rune</font> from absorbing <font color='#2EFE9A'>Deathfog</font>.<br>Enemies hit with a <font color='#40E0D0'>Runeblade</font> are marked with <font color='#2EFE9A'>Death Sentence</font> for 1 turn, and cannot be marked again for 4 turns.<br>When an enemy with <font color='#2EFE9A'>Death Sentence</font> dies, they return as a friendly <font color='#73f6ff'>Revenant<font> for 2 turns.<br><font color='#73f6ff'>Revenants<font> do 50% less damage, and cannot be created from bosses.</font>	hf01d79b0g4b08g482ag91f9g64e6523b775d
LLWEAPONEX_ACTIVATE_RUNEBLADE_DEATH_DisplayName	Death Rune	h32b2d731g95e4g4b68ga7f1ge6e5069a4a12
LLWEAPONEX_ACTIVATE_RUNEBLADE_DUST_Description	<font size='18'><font color='#7f3d00'>Earth Rune</font> + <font color='#7d71d9'>Air Rune</font></font><br>30% chance on hit to shoot out a cone of dust in a 7m range, applying <font color='#d040d0'>Blinded</font> to enemies for 1 turn and dealing minor <font color='#7f3d00'>Earth Damage</font>.<br><font color='#fcd203'>Dust Blast can only occur once per turn.</font><br>Adds <font color='#7f3d00'>Earth Damage</font> and <font color='#7d71d9'>Air Damage</font> to weapon attacks and skills.	h06ae90dbg0fabg4fdfg90ecgf9d698e7031d
LLWEAPONEX_ACTIVATE_RUNEBLADE_DUST_DisplayName	Dust Rune	hb3f22d63g62f7g44ccg89e4gb7c8dd6befd7
LLWEAPONEX_ACTIVATE_RUNEBLADE_EARTH_Description	Character has activated the <font color='#7f3d00'>Earth Rune</font> within their <font color='#40E0D0'>Runeblade</font>.<br>Enemies hit have a 20% chance to be <font color='#a8a8a8'>Slowed</font> for 1 turn.	h392b7852g3ad6g40c3gbae1g47467f5a36b6
LLWEAPONEX_ACTIVATE_RUNEBLADE_EARTH_DisplayName	Earth Rune	hd1f5b5b8gbb67g4aa9ga1e5g46848566d29f
LLWEAPONEX_ACTIVATE_RUNEBLADE_EXPLOSIVE_Description	<font size='18'><font color='#fe6e27'>Fire Rune</font> + <font color='#65c900'>Poison Rune</font></font><br>40% chance to cause a <font color='#fe6e27'>Mini-Explosion</font> on attack, dealing <font color='#fe6e27'>Fire Damage</font> in a 2m range.<br>Adds <font color='#fe6e27'>Fire Damage</font> and <font color='#65c900'>Poison Damage</font> to weapon attacks and skills.	hb4073561g667cg4156gb0e2g7b2e1d654edc
LLWEAPONEX_ACTIVATE_RUNEBLADE_EXPLOSIVE_DisplayName	Explosion Rune	h9bde6062g3bc0g472cgafc7g1f15839ed170
LLWEAPONEX_ACTIVATE_RUNEBLADE_FIRE_Description	Character has activated the <font color='#fe6e27'>Fire Rune</font> within their <font color='#40E0D0'>Runeblade</font>.<br>Applies <font color='#fe6e27'>Burning</font> to enemies hit for 1 turn.	h8bb384degc5a5g4c9ag998bg786395a5d4b7
LLWEAPONEX_ACTIVATE_RUNEBLADE_FIRE_DisplayName	Fire Rune	haf03c33cg569fg49cagad24gb343749d0897
