Key	Content
LLWEAPONEX_Katana_ComboEnabled	Blademaster's Strike
LLWEAPONEX_Rapier_SuckerCombo1Enabled	Dirty Fighting I
LLWEAPONEX_HandCrossbow_Equipped	a Hand Crossbow
LLWEAPONEX_AnyWeaponEquipped	an Equipped Weapon
LLWEAPONEX_HandCrossbow_HasAmmo	Crossbow Bolts
LLWEAPONEX_HandCrossbow_CanReload	Missing Charges & Inserted Bolts
LLWEAPONEX_ArmCannon_FullyCharged	Runic Cannon (Fully Charged)
LLWEAPONEX_ArmCannon_EnergyAvailable	Runic Cannon Energy
LLWEAPONEX_DualShields_Mastery1	Dual Shields Mastery I
LLWEAPONEX_DualShields_Mastery2	Dual Shields Mastery II
LLWEAPONEX_DualShields_Mastery3	Dual Shields Mastery III
LLWEAPONEX_Firearm_Mastery1	Firearm Mastery I
LLWEAPONEX_Firearm_Mastery2	Firearm Mastery II
LLWEAPONEX_Firearm_Mastery3	Firearm Mastery III
LLWEAPONEX_Greatbow_Mastery1	Greatbow Mastery I
LLWEAPONEX_Greatbow_Mastery2	Greatbow Mastery II
LLWEAPONEX_Greatbow_Mastery3	Greatbow Mastery III
LLWEAPONEX_HandCrossbow_Mastery1	Hand Crossbow Mastery I
LLWEAPONEX_HandCrossbow_Mastery2	Hand Crossbow Mastery II
LLWEAPONEX_HandCrossbow_Mastery3	Hand Crossbow Mastery III
LLWEAPONEX_Katana_Mastery1	Katana Mastery I
LLWEAPONEX_Katana_Mastery2	Katana Mastery II
LLWEAPONEX_Katana_Mastery3	Katana Mastery III
LLWEAPONEX_Quarterstaff_Mastery1	Quarterstaff Mastery I
LLWEAPONEX_Quarterstaff_Mastery2	Quarterstaff Mastery II
LLWEAPONEX_Quarterstaff_Mastery3	Quarterstaff Mastery III
LLWEAPONEX_Rapier_Mastery1	Rapier Mastery I
LLWEAPONEX_Rapier_Mastery2	Rapier Mastery II
LLWEAPONEX_Rapier_Mastery3	Rapier Mastery III
LLWEAPONEX_Runeblade_Mastery1	Runeblade Mastery I
LLWEAPONEX_Runeblade_Mastery2	Runeblade Mastery II
LLWEAPONEX_Runeblade_Mastery3	Runeblade Mastery III
LLWEAPONEX_ThrowingAbility_Mastery1	Throwing Mastery I
LLWEAPONEX_ThrowingAbility_Mastery2	Throwing Mastery II
LLWEAPONEX_ThrowingAbility_Mastery3	Throwing Mastery III
LLWEAPONEX_DualShields_Enabled	Dual Shields
LLWEAPONEX_Firearm_Enabled	a Firearm
LLWEAPONEX_Greatbow_Enabled	a Greatbow
LLWEAPONEX_HandCrossbow_Enabled	a Hand Crossbow
LLWEAPONEX_Katana_Enabled	a Katana
LLWEAPONEX_Quarterstaff_Enabled	a Quarterstaff
LLWEAPONEX_Rapier_Enabled	a Rapier
LLWEAPONEX_Runeblade_Enabled	a Runeblade
LLWEAPONEX_BattleBooks_SpellScrollEquipped	Gnak's Spell Scroll
