Key	Content	Handle
LLWEAPONEX_AnyWeaponEquipped	an Equipped Weapon	hb9994325g25c9g4159gbaadg693042a4b51a
LLWEAPONEX_MeleeWeaponEquipped	a Melee Weapon	hd1858204gc63dg4fd4g97fcg884c7e3f6081
LLWEAPONEX_NoMeleeWeaponEquipped	a Melee Weapon	hd1858204gc63dg4fd4g97fcg884c7e3f6081
LLWEAPONEX_ArmCannon_EnergyAvailable	Runic Cannon Energy	h6e194dd5g2ad5g4d96g965agcc05dac9c23f
LLWEAPONEX_ArmCannon_FullyCharged	Runic Cannon (Fully Charged)	hef4c2014gf86bg4d79g812cgd63647908d4c
LLWEAPONEX_BattleBooks_SpellScrollEquipped	Gnak's Spell Scroll	h62f975dcg5b03g44c7g85bdg2f5815aec437
LLWEAPONEX_Blademaster_Target_Available	Blademaster's Strike Target	h872b22a6ga3b3g409ag8921g26eb2af4a0c5
LLWEAPONEX_HandCrossbow_CanReload	Shoot on Cooldown	hbdb02714gc326g4ea1gb63agea089a7b4591
LLWEAPONEX_HandCrossbow_HasAmmo	Crossbow Bolts	h372458e1g39e6g41ccg89e8g1821272e41ac
LLWEAPONEX_Katana_ComboEnabled	Blademaster's Strike	hae626894g9011g4cdfg8eb8g3e3bbdb68d84
LLWEAPONEX_Pistol_HasAmmo	Pistol Ammo	hd1b72f00g5ea9g4aabg9c95g3aab8513082b
LLWEAPONEX_Pistol_CanReload	Shoot on Cooldown	ha98389e6g8056g4845ga3d8g016b45a2c9a2
LLWEAPONEX_Rapier_SuckerCombo1Enabled	Dirty Fighting I	hba48fc68g201fg454bga114gae251e299f95
LLWEAPONEX_Blunderbuss	Blunderbuss	h59b52860gd0e3g4e65g9e61gd66b862178c3
