Key	Content	Handle
LLWEAPONEX_Axe_Equipped	a Axe	haf958192gc25bg4733gbc1eg87dadc2008e1
LLWEAPONEX_Banner_Equipped	a Banner	h03ef37b2g017eg446bg9c4cg5105a7896273
LLWEAPONEX_BattleBook_Equipped	a Book	h799c4c01ga967g48f0gaa4fga880f88f7465
LLWEAPONEX_Blunt_Equipped	a Blunt Weapon	he99304c7gfdbag48e0gb57bgc8b1fcea2588
LLWEAPONEX_Bow_Equipped	a Bow	hb4f53328g9301g4fd4gb002g1ff28db8fc98
LLWEAPONEX_Crossbow_Equipped	a Crossbow	head276c0gfecag4897gbc5cg4b74c26bb4d9
LLWEAPONEX_Dagger_Equipped	a Dagger	h197d7e3dgc431g488bgaeefgf10b218dedd6
LLWEAPONEX_DualShields_Equipped	Dual Shields	hfa89dbc9g9a76g41d9g8820gc519c940f539
LLWEAPONEX_Firearm_Equipped	a Firearm	h857bd98agd795g43dcg91d9g000c6dcc40d0
LLWEAPONEX_Glaive_Equipped	a Glaive	hd715647fgc1dfg4a34gb619gfd612133a8ca
LLWEAPONEX_Greatbow_Equipped	a Greatbow	hf2ab4a31gdcdbg4f4dg8415g7c8957af4d5c
LLWEAPONEX_Halberd_Equipped	a Halberd	h9d706631g5097g458dga524g6acd817cfe36
LLWEAPONEX_HandCrossbow_Equipped	a Hand Crossbow	h74079584gc288g4e7egab31g216c5a68c0e3
LLWEAPONEX_Katana_Equipped	a Katana	h5b0872ddg4f86g4befg953cg6cda43630600
LLWEAPONEX_Pistol_Equipped	a Pistol	h27f4f283g5e5dg443fg82d1gac1090b3be4b
LLWEAPONEX_Polearm_Equipped	a Polearm	hc3788e7ag4777g47dbg9d44g14a09669d0de
LLWEAPONEX_Quarterstaff_Equipped	a Quarterstaff	h5c14442bg1c7bg400cgbb84gac21bec6aa04
LLWEAPONEX_Rapier_Equipped	a Rapier	heff61ff4g86aag4e37ga3dfgc8ea4745d8fb
LLWEAPONEX_Rod_Equipped	a Rod	h68d2fe88g2811g404cga30cg3f3f1d97451e
LLWEAPONEX_Runeblade_Equipped	a Runeblade	h8d38f076g3192g48fdg9d93g41f9acc3a9a1
LLWEAPONEX_Scythe_Equipped	a Scythe	hde82a9f6ga4b3g403dg9384g08519fc401cf
LLWEAPONEX_Shield_Equipped	a Shield	ha334211eg8502g4530ga132g3e96b8ded816
LLWEAPONEX_Spear_Equipped	a Spear	h3f6442e1gdc87g4b09ga9a8gca12fa86a07d
LLWEAPONEX_Staff_Equipped	a Staff	hf7b82d52g12ddg4bc7gb595gd1dd4eb287ea
LLWEAPONEX_Sword_Equipped	a Sword	h1071f739gc117g4d6fg933fg6dda12d39ab1
LLWEAPONEX_ThrowingAbility_Equipped	Throwing Ability	hd101a6e8g78d1g4af6g9c85g9cf2abb64e5a
LLWEAPONEX_Unarmed_Equipped	Empty Hands	h9000c4f0ge40eg4169gade4g8a02c19a5b01
LLWEAPONEX_Wand_Equipped	a Wand	heb3b000egc1ffg49cdgb4ceg7d289e830454
