Key	Content	Handle
LLWEAPONEX_UI_MasteryMenu_Title	Weapon Masteries	h2ead0b87gb4b0g410ag8334ge82de5c8fea0
LLWEAPONEX_UI_MasteryMenu_CloseButton	Close	h688b0700g55a2g46cdgb02cg6269d72d7dad
LLWEAPONEX_UI_MasteryMenu_ToggleButtonTooltip	Toggle Mastery Menu	h7875b402g4783g4122gb2bdg35dcde66f221
LLWEAPONEX_UI_MasteryMenu_NoMasteriesTitle	No Masteries Learned	h47c00b1cg79b5g4ee7gbe3fg25c58809a3ef
LLWEAPONEX_UI_MasteryMenu_NoMasteriesDescription	Use weapons in battle to automatically gain mastery experience.	h826d023bg5b10g4d79g874agb0f918554f34
LLWEAPONEX_UI_MasteryMenu_RankDescription	[1]<br>[2]	ha931c2f8ge74fg4e46ga1b8g142846b61b46
LLWEAPONEX_UI_MasteryMenu_Rank0	Unranked	h3112e038g01abg4e7eg9efcg379e017e328f
LLWEAPONEX_UI_MasteryMenu_Rank1	Rank 1	h2b7863d6g2faag4ee8gba71g90f217bf1d52
LLWEAPONEX_UI_MasteryMenu_Rank2	Rank 2	ha647239bgf7a4g4142gb7a3g97bf618307b7
LLWEAPONEX_UI_MasteryMenu_Rank3	Rank 3	hd2364fb1g646bg47cagbd53g71411ba6a0ad
LLWEAPONEX_UI_MasteryMenu_Rank4	Rank 4	hbf31ff61gafa2g499fgbc58gf8a0defac3e7
LLWEAPONEX_UI_MasteryMenu_Rank5	Rank 5	he14a313dg2a94g4084g9d10g3cc18ca4974b
LLWEAPONEX_UI_MasteryMenu_RankLocked	<font color='#555555'>Locked</font>	h4f3937d2gfffbg4e84g922fg608f65fa105e
LLWEAPONEX_UI_MasteryMenu_RankPlaceholder	<font color='#FF3333'>Not Yet Implemented</font>	h1d2c7bf8g249fg4acbg9c0bg47204fb87c9b
LLWEAPONEX_UI_MasteryMenu_MasteredTooltip	<font color='#FFD900'>Mastered</font>	hc167c125g2e75g402dg99b5gd78ed59e8f22
LLWEAPONEX_UI_Scaling_Pistol	Scales With Scoundrel and Pistol Mastery	h893512aag4f27g45fdg974fgb0e3300c8bd5
LLWEAPONEX_UI_Scaling_HandCrossbow	Scales With Scoundrel and Hand Crossbow Mastery	hadb5f130g449cg4e04gaeacgd5dfa2ab10ef
LLWEAPONEX_UI_UnarmedWeapon	Unarmed Weapon[1]	h4eb213a7g4793g4007g95c6gbaf47584f29d
LLWEAPONEX_UI_FromUnarmedWeapon	<br>From Unarmed Weapon: [1]-[2]	h6d1ce292g842cg4decg89deg09ec0e293e5e
LLWEAPONEX_UI_WeaponType_Rod	One-Handed Scepter	heb1c0428g158fg46d6gafa3g6d6143534f37
LLWEAPONEX_UI_TwoHandedKatana	Odachi	hd1f993bag9dadg49cbga5edgb92880c38e46
LLWEAPONEX_UI_ThiefGloveChanceEnhancement	+[1]% chance from [2]	h1fce3bfeg41a6g41adgbc5bg03d39281b469
LLWEAPONEX_UI_SpecialRuneDamageTypeText	<font color='#FFD900'>Changes [1] damage to [2].</font>	hff86de07g52e5g491cga553g90bb501e6f52
LLWEAPONEX_UI_RuneOnHitTagText	Amplifies Shoot Skill	h3ee45020g2bb3g45c0ga195gc7282c87e628
LLWEAPONEX_UI_RunicCannonEnergy	<font color='#33FFAA'>Runic Energy [1]/[2]</font>	h02882207g5e7bg4deaga22eg854b68f8dd29
LLWEAPONEX_UI_DarkFireballKillCount	<font color='#AA00FF'>[1]/[2] Deaths Charges</font>	h67e6fbecg1cafg4202ga78ag45db47880450
LLWEAPONEX_UI_DarkFireballEmptyKillCount	<font color='#FF2200'>[1]/[2] Death Charges</font>	h83e65b1fg30c2g4e9ega9bag005eb17c5d75
LLWEAPONEX_Mod_DisplayName	Weapon Expansion	h2cb50244g8d38g4a87g8924gc01a4a02f19a
LLWEAPONEX_UI_LizardClawWeaponMainhand	From Right Claws: [1]-[2]	h9c185c53gfcdag4349gab64g314e51005c21
LLWEAPONEX_UI_LizardClawWeaponOffhand	From Left Claws: [1]-[2]	he27df360gc0cag4612gaec1g4d8fe4c76b1e
LLWEAPONEX_UI_BaseDamage	Base Damage	haf8ef486g9b5eg46b0g95efg2c5795550240
LLWEAPONEX_UI_DemoBackpackChargeMode_CombatOnly	Recharges when enemies die in battle.<br><font color='#00CCAA'>Killing an enemy with a remote charge grants a charge and additional bonuses.</font>	hed496668g0478g4a5cgbcb7g9cf9e7bedfbf
LLWEAPONEX_UI_DemoBackpackChargeMode_Recharging	<font color='#00CCAA'>Recharges slowly over time.</font><br><font color='#00CCAA'>Killing an enemy with a remote charge grants a charge and additional bonuses.</font>	h6ad69540ga85dg41e4ga6abg080720b0761b
