new itemcolor "LLWEAPONEX_Blademaster","2f2825","5a0808","b34747"
new itemcolor "LLWEAPONEX_DragonSlayer","2e2e2e","1a0b0b","bababa"
new itemcolor "LLWEAPONEX_Halberdier","85c370","3d4550","84ac80"
new itemcolor "LLWEAPONEX_Pirate","030207","ffffff","aaabb8"
new itemcolor "LLWEAPONEX_Rifleman","43322f","2b2727","394236"
new itemcolor "LLWEAPONEX_RunicKnight","1a2e34","224b57","40E0D0"
new itemcolor "LLWEAPONEX_RunicKnight_Humans","1a2e34","224b57","40E0D0"
new itemcolor "LLWEAPONEX_RunicKnight_Humans_Yellow","1a2e34","FFD700","FFD700"
new itemcolor "LLWEAPONEX_Runeblade_Default","b6b6b6","6a5e3e","40E0D0"
new itemcolor "LLWEAPONEX_Runeblade_Human_A","332d7e","C5B3CB","40E0D0"
new itemcolor "LLWEAPONEX_Runeblade_Human_A_Chaos","eeb8ec","1c1c1c","40E0D0"
new itemcolor "LLWEAPONEX_Runeblade_Human_B","6939B1","C5B3CB","40E0D0"
new itemcolor "LLWEAPONEX_Runeblade_Human_B_Water","D4A569","9CB9E2","40E0D0"
new itemcolor "LLWEAPONEX_Runeblade_Dwarf_C","ac6d4e","f99246","40E0D0"
new itemcolor "LLWEAPONEX_Runeblade_Dwarf_C_Air","BFA8FF","404040","40E0D0"
new itemcolor "LLWEAPONEX_Runeblade_Dwarf_D","ac6d4e","f99246","40E0D0"
new itemcolor "LLWEAPONEX_Runeblade_Dwarf_D_Air","BFA8FF","404040","40E0D0"
new itemcolor "LLWEAPONEX_Runeblade_Lizard_A","289c04","7d573d","40E0D0"
new itemcolor "LLWEAPONEX_Runeblade_Elf_A","CCCCCC","CD7337","40E0D0"
new itemcolor "LLWEAPONEX_Runeblade_Elf_A_Original","564333","18692d","40E0D0"
new itemcolor "LLWEAPONEX_Runeblade_ChaosEdge","030207","030207","190525"
new itemcolor "LLWEAPONEX_DualShields_LizardsC","330b0e","B2CAC9","404040"
new itemcolor "LLWEAPONEX_DualShields_LizardsD","c696f8","d6d6d6","6e3e42"
new itemcolor "LLWEAPONEX_DualShields_DwarvesA_Epic","c696f8","d6d6d6","6e3e42"
new itemcolor "LLWEAPONEX_CombatShield_Lizards_D","FF0000","404040","B2CAC9"
new itemcolor "LLWEAPONEX_CombatShield_Lizards_C_Gold","330b0e","FFD700","DAA520"
new itemcolor "LLWEAPONEX_Katana_1H_Default","A18CDD","353535","b8b8b8"
new itemcolor "LLWEAPONEX_Katana_1H_Purple","A18CDD","353535","b8b8b8"
new itemcolor "LLWEAPONEX_Katana_1H_Runeblade_Default","080a22","f9d06a","40E0D0"
new itemcolor "LLWEAPONEX_Katana_1H_Runeblade_Fire","461313","421007","40E0D0"
new itemcolor "LLWEAPONEX_Katana_2H_Default","F3626E","353535","b8b8b8"
new itemcolor "LLWEAPONEX_Katana_2H_ShuraSamurai_A","402c8a","FFFFFF","FFFFFF"
new itemcolor "LLWEAPONEX_Unique_Axe_1H_A","7F3300","4C528A","c9c9c9"
new itemcolor "LLWEAPONEX_Unique_Axe_1H_Throwing_A","7F3300","4C528A","404040"
new itemcolor "LLWEAPONEX_Unique_Axe_1H_Throwing_A_Air","7F3300","4C528A","7E6EAA"
new itemcolor "LLWEAPONEX_Unique_Axe_1H_Throwing_A_Fire","7F3300","4C528A","9B5E3F"
new itemcolor "LLWEAPONEX_Unique_Axe_1H_Throwing_A_Oil","7F3300","4C528A","000000"
new itemcolor "LLWEAPONEX_Unique_Axe_1H_Throwing_A_Water","7F3300","4C528A","6898B9"
new itemcolor "LLWEAPONEX_HandCrossbow_A","8a5b46","eec07b","474747"
new itemcolor "LLWEAPONEX_ArmCannon_A","AEB3D0","303030","707083"
new itemcolor "LLWEAPONEX_Mask_Tengu_Red","E90000","0A0A0A","0A0A0A"
new itemcolor "LLWEAPONEX_Mask_Tengu_Green","00E900","E0E0E0","E0E0E0"
new itemcolor "LLWEAPONEX_Mask_Tengu_Blue","1176ff","E0E0E0","E0E0E0"
new itemcolor "LLWEAPONEX_Mask_Tengu_Yellow","ffa800","191919","191919"
new itemcolor "LLWEAPONEX_Mask_Tengu_Purple","5a00ff","191919","191919"
new itemcolor "LLWEAPONEX_Mask_Tengu_Pink","a200ff","191919","191919"
new itemcolor "LLWEAPONEX_Mask_Tengu_White","dddddd","191919","191919"
new itemcolor "LLWEAPONEX_Mask_Tengu_Black","191919","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_AliceBlue","F0F8FF","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_AntiqueWhite","FAEBD7","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Aqua","00FFFF","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Aquamarine","7FFFD4","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Azure","F0FFFF","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Beige","F5F5DC","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Bisque","FFE4C4","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Black","000000","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_BlanchedAlmond","FFEBCD","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Blue","0000FF","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_BlueViolet","8A2BE2","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Brown","A52A2A","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_BurlyWood","DEB887","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_CadetBlue","5F9EA0","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Chartreuse","7FFF00","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Chocolate","D2691E","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Coral","FF7F50","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_CornflowerBlue","6495ED","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Cornsilk","FFF8DC","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Crimson","DC143C","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Cyan","00FFFF","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkBlue","00008B","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkCyan","008B8B","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkGoldenRod","B8860B","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkGray","A9A9A9","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkGrey","A9A9A9","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkGreen","006400","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkKhaki","BDB76B","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkMagenta","8B008B","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkOliveGreen","556B2F","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_Darkorange","FF8C00","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkOrchid","9932CC","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkRed","8B0000","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkSalmon","E9967A","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkSeaGreen","8FBC8F","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkSlateBlue","483D8B","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkSlateGray","2F4F4F","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkSlateGrey","2F4F4F","c7c7c7","c7c7c7"
new itemcolor "LLWEAPONEX_DarkTurquoise","00CED1","c7c7c7","c7c7c7"
