
new entry "Target_LLWEAPONEX_Overpower_Harkin"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "Yes"
data "Ability" "Warrior"
data "Requirement" "MeleeWeapon"
data "ActionPoints" "2"
data "Cooldown" "4"
data "Damage Multiplier" "125"
data "SkillProperties" "OVERPOWER,100,1;KNOCKED_DOWN,100,1"
data "TargetRadius" "1"
data "AddWeaponRange" "Yes"
data "IsMelee" "Yes"
data "DeathType" "Physical"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "No"
data "Memory Cost" "0"
data "Magic Cost" "1"
data "TargetConditions" "Character;NonSelf"
data "UseCharacterStats" "Yes"
data "UseWeaponDamage" "Yes"
data "UseWeaponProperties" "Yes"
data "Icon" "Skill_Warrior_Overpower"
data "DisplayName" "Target_Overpower_DisplayName"
data "Description" "Target_Overpower_Description"
data "DisplayNameRef" "|Overpower|"
data "DescriptionRef" "|Deal  [1] damage. If your Physical Armor is higher than opponents, destroy all their Physical Armor. Set Knock Down|"
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Warrior_Prepare_Hand_01:Dummy_R_Hand,Dummy_L_Hand;RS3_FX_Skills_Warrior_Prepare_Weapon_Root_01;RS3_FX_Skills_Earth_Prepare_Weapon_Root_01:Dummy_Root;RS3_FX_Skills_Earth_Prepare_Weapon_Body_01:Dummy_BodyFX"
data "CastAnimation" "skill_attack_power_01_cast"
data "CastSelfAnimation" "skill_attack_power_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_SubEffects_FireTrail_02:Dummy_R_HandFX,Dummy_L_HandFX;RS3_FX_Skills_Warrior_Cast_Attack_Power_Root_01;RS3_FX_Skills_Earth_Attack_Power_01_Cast_Root_01:Dummy_Root"
data "TargetEffect" "RS3_FX_Skills_Earth_Impact_Attack_Power_Root_01:Dummy_Root:cast"
data "TargetGroundEffect" "RS3_FX_Skills_Earth_Impact_Attack_Power_Root_01:Dummy_Root:cast"
data "CycleConditions" "Enemy;!Dead"
