new entry "Shout_LLWEAPONEX_OniGauntlet_Summon_Raizan"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "No"
data "IsEnemySkill" "No"
data "Ability" "None"
data "Tier" "None"
data "ActionPoints" "0"
data "Cooldown" "0"
data "AIFlags" "CanNotUse"
data "AreaRadius" "0"
data "AddWeaponRange" "No"
data "Requirements" ""
data "TargetConditions" "Self"
data "Autocast" "No"
data "MemorizationRequirements" ""
data "Icon" "LLWEAPONEX_Items_Katana_2H_Unique_Raizan_1_A"
data "DisplayName" "Shout_LLWEAPONEX_OniGauntlet_Summon_Raizan_DisplayName"
data "Description" "Shout_LLWEAPONEX_OniGauntlet_Summon_Raizan_Description"
data "DisplayNameRef" "Summon Raizan"
data "DescriptionRef" "Call forth the Raizan through the Shiden Orb, gaining a unique katana."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "CastAnimation" "skill_cast_aoe_voodoo_01_cast"
data "CastTextEvent" "cast"
data "PrepareEffect" "RS3_FX_Skills_Air_Lightning_Prepare_Hand_03:Dummy_R_HandFX"
data "CastEffect" "RS3_FX_Skills_Air_Lightning_Cast_Hand_02:Dummy_R_HandFX"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "IgnoreSilence" "Yes"
