new entry "Shout_LLWEAPONEX_StreetSweep"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "Yes"
data "Ability" "Warrior"
data "Tier" "Novice"
data "Requirement" "MeleeWeapon"
data "ActionPoints" "3"
data "Cooldown" "0"
data "Damage Multiplier" "90"
data "AreaRadius" "2"
data "AddWeaponRange" "Yes"
data "TargetConditions" "!Ally;!Dead"
data "UseCharacterStats" "Yes"
data "UseWeaponDamage" "Yes"
data "UseWeaponProperties" "Yes"
data "Autocast" "No"
data "Icon" "Item_TOOL_Broom_Magic_A"
data "DisplayName" "Shout_LLWEAPONEX_StreetSweep_DisplayName"
data "DisplayNameRef" "Street Sweep"
data "Description" "Shout_LLWEAPONEX_StreetSweep_Description"
data "DescriptionRef" "Sweep the ground around you in a quick motion, hitting enemies for [1] damage with a chance to knockdown.<br>Pushes enemies away."
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "LLWEAPONEX_Quarterstaff_FX_Skills_Wallop_Prepare_01"
data "CastAnimation" "skill_attack_round_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "LLWEAPONEX_Quarterstaff_FX_Skills_StreetSweep_Root_01:Dummy_Root:cast"
data "WeaponBones" "Bone_Whirlwind_WPN_A;Bone_Whirlwind_WPN_B;Bone_Whirlwind_WPN_C;Bone_Whirlwind_WPN_D;Bone_Whirlwind_WPN_E"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "HitEffect" "LLWEAPONEX_Quarterstaff_FX_Skills_Wallop_HitEffect_01:root:cast"
data "PushDistance" "3"
data "SkillProperties" "KNOCKED_DOWN,30,1"
