
new entry "Shout_LLWEAPONEX_Rapier_DuelistStance"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "No"
data "IsEnemySkill" "No"
data "Ability" "Rogue"
data "Tier" "None"
data "ActionPoints" "0"
data "Cooldown" "0"
data "AIFlags" "CanNotUse"
data "AreaRadius" "0"
data "AddWeaponRange" "No"
data "Requirements" ""
data "TargetConditions" "Self"
data "Autocast" "Yes"
data "MemorizationRequirements" ""
data "Icon" "Skill_Warrior_Challenge"
data "DisplayName" "Shout_LLWEAPONEX_Rapier_DuelistStance_DisplayName"
data "Description" "Shout_LLWEAPONEX_Rapier_DuelistStance_Description"
data "DisplayNameRef" "Duelist Stance"
data "DescriptionRef" "<font color='#F7BA14' size='18'>Rapier Mastery</font><br>Take a stance that enhances guile and speed.<br>When your offhand is empty, gain +[1] Dodge and [2] Movement Speed.<br>Backstabs can grant 1 Bonus AP every 3 turns."
data "FXScale" "100"
data "PrepareAnimationInit" "noprepare"
data "PrepareAnimationLoop" "noprepare"
data "PrepareEffect" ""
data "CastAnimation" "Portret_Still_01"
data "CastTextEvent" "cast"
data "CastEffect" ""
data "Memory Cost" "0"
data "Magic Cost" "0"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "IgnoreSilence" "Yes"
