new entry "Target_SingleHandedAttack"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "Yes"
data "ActionPoints" "1"
data "Cooldown" "3"
data "Ability" "None"
data "AIFlags" "CanNotUse"
data "Damage Multiplier" "100"
data "DamageType" "Physical"
data "SkillProperties" "LLWEAPONEX_SUCKER_PUNCH,100,1"
data "TargetRadius" "2"
data "AddWeaponRange" "No"
data "IsMelee" "Yes"
data "DeathType" "Physical"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "No"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "TargetConditions" "NonSelf"
data "UseCharacterStats" "Yes"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "Skill_SuckerPunch"
data "DisplayName" "Target_SingleHandedAttack_DisplayName"
data "DisplayNameRef" "Sucker Punch"
data "Description" "Target_SingleHandedAttack_Description"
data "DescriptionRef" "An unexpected blow, that deals [1] damage and knocks down the target."
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "RS3_FX_Items_Weapons_Prepare_Weapon_Root_01,KeepRot;RS3_FX_Items_Weapons_Prepare_Weapon_Hand_01:Dummy_R_HandFX,Dummy_L_HandFX"
data "CastAnimation" "skill_attack_offhand_01_cast"
data "CastSelfAnimation" "skill_attack_offhand_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Items_Weapons_Cast_Weapon_Hand_01:Dummy_R_HandFX,Dummy_L_HandFX;RS3_FX_Items_Weapons_Cast_Weapon_Root_01:root"
data "TargetEffect" "RS3_FX_Items_Weapons_Impact_Weapon_Flurry_Root_01:root:cast"
data "OverrideMinAP" "Yes"
data "CycleConditions" "Enemy;!Dead"
