new entry "NoWeapon"
type "Weapon"
data "ModifierType" "Item"
data "Act" "1"
data "Act part" "1"
data "Requirements" "Constitution 0"
data "IsTwoHanded" "No"
data "AttackAPCost" "2"
data "Damage Type" "Physical"
data "Damage" "0"
data "Damage Range" "30"
data "DamageFromBase" "20"
data "CriticalDamage" "150"
data "CriticalChance" "0"
data "WeaponRange" "80"
data "Durability" "0"
data "DurabilityDegradeSpeed" "0"
data "Value" "0"
data "Movement" "20"
data "WeaponType" "None"
data "Slot" "Weapon"
data "Charges" "0"
data "RuneSlots" "0"
data "RuneSlots_V1" "0"
data "ExtraProperties" "LLWEAPONEX_UNARMED_NOWEAPON_HIT,100,0"
