Mastery	Rank	Skill/Status/Name	Bonus	Implemented	Tested
Axe	1	Executioner	Axes now deal 25% more damage to Knocked Down targets.	√	√
Axe	2	Savage	Attack of opportunities gain 50% bonus damage proportional to the target's missing vitality.	√	√
Axe	4	Stalker	Axes can now be used with Scoundrel skills.	√	√
Banner	2	Cooperation	Heals received also heal nearby allies in 6m for 50% of the amount.	√	√
Banner	3	Inspiring Leadership	If affected by Leadership, allies have a 30% chance (50% chance if from the Banner user) to become Inspired on their turn.	√	√
Banner	4	Banner Protection	When near a placed banner, you cannot be flanked. Delaying your turn grants you 50% damage reduction. 	√	√
Battle Book	1	Book Hunter	When opening a bookcase or stack of books, there is a small chance to find a skillbook.	√	√
Battle Book	2	Scroll	When using any scroll, gain 1 AP. Can only happen once per turn.	√	√
Battle Book	3	Scholar	Gain a percentage of damage for skills of the most memorized ability school (i.e. if most skills you have memorized are fire skills, fire skills deal bonus damage). Scales with total skill slots, and the highest ability school can be tied to spread the damage bonuses, albeit at a reduced cap.	√	√
Bludgeon	2	Armor Breaker	When basic attacking, deal additional damage directly to armor values. If an armor-altering mod like Divinity Unleashed is present, deal bonus damage instead.	√	√
Bludgeon	4	Shatter	Hitting a Petrified or Frozen target with a basic attack or weapon skill deals a critical hit, and shatters the shell, ending the status. If the target is an ally, damage is reduced.	√	√
Bow	2	Focused Attacking	Basic attacking the same target has a cumulative chance to deal a critical hit. The bonus is lost upon critical hitting, leaving combat, or attacking a different target. This bonus applies to Greatbows as well.	√	❌
Bow	3	Placeholder	Desc	❌	❌
Bow	4	Placeholder	Desc	❌	❌
Crossbow	1	Still Stance	When attacking without moving, damage is increased, proportional to Crossbow Mastery rank.	❌	❌
Crossbow	2	Placeholder	Desc	❌	❌
Crossbow	3	Placeholder	Desc	❌	❌
Crossbow	4	Placeholder	Desc	❌	❌
Dagger	1	Assassin's Patience	For every turn spent invisible or sneaking in combat, gain a stacking damage boost for one attack.  	√	❌
Dagger	2	Placeholder	Desc	❌	❌
Dagger	2	Placeholder	Desc	❌	❌
Dagger	3	Placeholder	Desc	❌	❌
Dagger	3	Placeholder	Desc	❌	❌
Dagger	4	Placeholder	Desc	❌	❌
Dagger	4	Placeholder	Desc	❌	❌
Dual Shields	1	Placeholder	Desc	❌	❌
Dual Shields	2	Placeholder	Desc	❌	❌
Dual Shields	3	Placeholder	Desc	❌	❌
Dual Shields	4	Placeholder	Desc	❌	❌
Firearm	1	Placeholder	Desc	❌	❌
Firearm	2	Placeholder	Desc	❌	❌
Firearm	3	Placeholder	Desc	❌	❌
Firearm	4	Placeholder	Desc	❌	❌
Greatbow	1	Placeholder	Desc	❌	❌
Greatbow	2	Placeholder	Desc	❌	❌
Greatbow	3	Placeholder	Desc	❌	❌
Greatbow	4	Placeholder	Desc	❌	❌
Hand Crossbow	1	Base Damage	Deal +5% more base damage.	√	√
Hand Crossbow	2	Base Damage	Deal +10% more base damage.	√	√
Hand Crossbow	3	Base Damage	Deal +15% more base damage.	√	√
Hand Crossbow	4	Base Damage	Deal +20% more base damage.	√	√
Katana	1	Blademaster's Strike	Weapon skills and attacks grant a stacking combo status on targets hit that interact with Katana mastery skills.	√	❌
Katana	2	Placeholder	Desc	❌	❌
Katana	3	Placeholder	Desc	❌	❌
Katana	4	Placeholder	Desc	❌	❌
Pistol	1	Placeholder	Desc	√	❌
Pistol	1	Placeholder	Desc	√	❌
Pistol	2	Placeholder	Desc	√	❌
Pistol	3	Placeholder	Desc	❌	❌
Pistol	4	Placeholder	Desc	❌	❌
Polearm	1	Placeholder	Desc	❌	❌
Polearm	2	Placeholder	Desc	❌	❌
Polearm	3	Placeholder	Desc	❌	❌
Polearm	4	Placeholder	Desc	❌	❌
