Projectile_LLWEAPONEX_Throw_Base_DisplayName	Throw Weapon
Projectile_LLWEAPONEX_Throw_Base_Description	Throw a weapon at an enemy for [1].
Projectile_LLWEAPONEX_Throw_Impale_Description	Throw a bladed weapon at an enemy for [1]. Applies <font color='#FF0000'>Impaled</font> and <font color='#FF0000'>Internal Damage</font>.<br><font color='#FF0000'>Impaled</font> lowers Movement Speed by <font color='#FF0000'>[2]%</font> per weapon stuck inside the enemy.<br><font color='#FF0000'>Internal Damage</font> lowers AP Recovery/Start/Maximum by <font color='#FF0000'>[3]</font>, and does [4] per turn.
Projectile_LLWEAPONEX_Throw_Blunt_Description	Throw a blunt weapon at an enemy for [1]. Applies <font color='#FF0000'>Dazed</font> and <font color='#FF0000'>Blunt Trauma</font>, with a chance to knock the enemy down.<br><font color='#FF0000'>Dazed</font> lowers Accuracy by <font color='#FF0000'>[2]%</font> per stack.<br><font color='#FF0000'>Blunt Trauma</font> lowers Movement Speed by <font color='#FF0000'>[3]</font>, Dodge by <font color='#FF0000'>[4]</font>, and does [5] per turn.
Projectile_LLWEAPONEX_Throw_Shield_Description	Throw a shield at an enemy for [1]. Applies <font color='#FF0000'>Dazed</font> and <font color='#FF0000'>Blunt Trauma</font>, with a chance to knock the enemy unconscious.<br><font color='#FF0000'>Dazed</font> lowers Accuracy by <font color='#FF0000'>[2]%</font> per stack.<br><font color='#FF0000'>Blunt Trauma</font> lowers Movement Speed by <font color='#FF0000'>[3]</font>, Dodge by <font color='#FF0000'>[4]</font>, and does [5] per turn.
Projectile_LLWEAPONEX_Throw_Staff_Description	Throw a staff at an enemy for [1] and apply <font color='#FF0000'>Staff Infection</font>, with a chance to knock the enemy down.<br><font color='#FF0000'>Staff Infection</font> lowers all Elemental Resistances <font color='#FF0000'>[2]%</font>.<br><font color='#FF00FF'>When hit by a staff, it explodes with a random element.</font>
Projectile_LLWEAPONEX_Throw_Wand_Description	Throw a wand at an enemy for [1] and apply <font color='#FF0000'>Flabbergasted</font>, with a small chance to knock the enemy down.<br><font color='#FF0000'>Flabbergasted</font> lowers all Elemental Resistances <font color='#FF0000'>[2]%</font>.<br><font color='#FF00FF'>When hit by a wand, it explodes, creating a random surface.</font>
Projectile_LLWEAPONEX_Throw_Rock_DisplayName	Throw Stone
Projectile_LLWEAPONEX_Throw_Rock_Description	Throw a stone at an enemy for [1], with a chance to give them a <font color='#FF0000'>Concussion</font>.<br>Enemies suffering from a <font color='#FF0000'>Concussion</font> have a small chance to <font color='#FF8C00'>Fumble</font> their basic attacks.
Projectile_LLWEAPONEX_Throw_Chair_DisplayName	Throw Chair
Projectile_LLWEAPONEX_Throw_Chair_Description	Throw a chair weapon at an enemy for [1]. Applies <font color='#FF0000'>Dazed</font> and <font color='#FF0000'>Blunt Trauma</font>, with a chance to knock the enemy down.<br><font color='#FF0000'>Dazed</font> lowers Accuracy by <font color='#FF0000'>[2]%</font> per stack.<br><font color='#FF0000'>Blunt Trauma</font> lowers Movement Speed by <font color='#FF0000'>[3]</font>, Dodge by <font color='#FF0000'>[4]</font>, and does [5] per turn.
Projectile_LLWEAPONEX_Throw_Shuriken_DisplayName	Throw Shuriken
Projectile_LLWEAPONEX_Throw_Shuriken_Description	Throw a shuriken at an enemy for [1]. Applies <font color='#FF0000'>Impaled</font> and <font color='#FF0000'>Bleeding</font>.<br><font color='#FF0000'>Impaled</font> lowers Movement Speed by <font color='#FF0000'>[2]%</font> per weapon stuck inside the enemy.<br><font color='#FF69B4'>Shurikens do 50% more damage while Sneaking or Invisible.</font>
Projectile_LLWEAPONEX_Throw_Rock_Kevin_DisplayName	Throw Kevin
Projectile_LLWEAPONEX_Throw_Rock_Kevin_Description	Throw <font color='#c5a65a'>Kevin</font> at an enemy for [1], with a chance to give them a <font color='#FF0000'>Concussion</font>.<br>Enemies suffering from a <font color='#FF0000'>Concussion</font> have a small chance to <font color='#FF8C00'>Fumble</font> their basic attacks.<br><font color='#c5a65a'>Kevin</font> will ricochet to hit [2] additional enemies in a [3] radius.
Projectile_LLWEAPONEX_Throw_Rock_Kevin_Poison_Description	Throw <font color='#c5a65a'>Kevin</font> at an enemy for [1].<br>If <font color='#c5a65a'>Kevin's</font> target is <font color='#fe6e27'>Burning</font>, mini-explosions will occur, hitting enemies for [2] in a [3] radius.<br><font color='#c5a65a'>Kevin</font> will ricochet to hit [4] additional enemies in a [5] radius.
Projectile_LLWEAPONEX_Throw_Rock_Kevin_Oil_Description	Throw <font color='#c5a65a'>Kevin</font> at an enemy for [1].<br>If <font color='#c5a65a'>Kevin's</font> target is <font color='#fe6e27'>Burning</font>, mini-explosions will occur, hitting enemies for [2] in a [3] radius.<br><font color='#c5a65a'>Kevin</font> will ricochet to hit [4] additional enemies in a [5] radius.
Projectile_LLWEAPONEX_Throw_Rock_Kevin_Nails_Description	Throw <font color='#c5a65a'>Kevin</font> at an enemy for [1].<br>If <font color='#c5a65a'>Kevin's</font> target is already <font color='#FF0000'>Bleeding</font>, their wound will <font color='#DC143C'>Rupture</font>, dealing [2] initially and per turn.<br><font color='#c5a65a'>Kevin</font> will ricochet to hit [3] additional enemies in a [4] radius.
