Stats_LLWEAPONEX_ChaosPower	Chaotic Power
Stats_LLWEAPONEX_DragonGrounded	Dragon's Bane
Stats_LLWEAPONEX_FinesseStrengthBonus	Finesse Conversion
Stats_LLWEAPONEX_IntelligenceFinesseBonus	Intelligence Conversion
Stats_LLWEAPONEX_Revenant	Revenant
Stats_LLWEAPONEX_SoulBurn1	Soul Burn
Stats_LLWEAPONEX_SoulBurn2	Soul Burn II
Stats_LLWEAPONEX_SoulBurn3	Soul Burn III
Stats_LLWEAPONEX_SoulBurn4	Soul Burn IV
Stats_LLWEAPONEX_SoulBurn5	Soul Burn V
Stats_LLWEAPONEX_StrengthIntelligenceBonus	Strength Conversion
Stats_LLWEAPONEX_Tarred	Tarred
Stats_LLWEAPONEX_WaterBurn	Water Burn
Stats_LLWEAPONEX_CombatShieldArmor	Combat Shield
Stats_LLWEAPONEX_BeerChampion	Champion of Beer
Stats_LLWEAPONEX_RapierMastery_DuelistStance	Duelist Stance
Stats_LLWEAPONEX_RapierMastery_DuelistStance_Weapon	Duelist Stance
Stats_LLWEAPONEX_RapierMastery_DuelistBonus	Flourish (Duelist Stance)
Stats_LLWEAPONEX_RapierMastery_CritDamageBoost	Flourish (Duelist Stance)
Stats_LLWEAPONEX_BlindfoldEquipped	Blindfolded
Stats_LLWEAPONEX_TormentedGhost	Tormented Ghost
Stats_LLWEAPONEX_Zombified	Zombified
Stats_LLWEAPONEX_Dizzy	Dizzy
Stats_LLWEAPONEX_Doused	Doused
Stats_LLWEAPONEX_DemonHandEquipped	<font color='#C7A758'>Devil Hand</font>
Stats_LLWEAPONEX_DemonHandEquipped_ApplyDefense	Auto Defense
