Key	Content
Stats_LLWEAPONEX_Grimoire_Death_Active	<font color='#7f00ff'>Torment, Book of the Dead</font> (Activated)
Stats_LLWEAPONEX_Grimoire_Fire_Active	<font color='#FF5A00'>Heretic's Almanac</font> (Activated)
Stats_LLWEAPONEX_Grimoire_Mimicry_Active	<font color='#b823cb'>Imitation, Guide to Mimicry</font> (Activated)
Stats_LLWEAPONEX_Grimoire_Spark_DamageBonus1	Immolation Bonus I
Stats_LLWEAPONEX_Grimoire_Spark_DamageBonus2	Immolation Bonus II
Stats_LLWEAPONEX_Grimoire_Spark_DamageBonus3	Immolation Bonus III
Stats_LLWEAPONEX_Grimoire_Spark_DamageBonus4	Immolation Bonus IV
Stats_LLWEAPONEX_Grimoire_Spark_DamageBonus5	Immolation Bonus V
Stats_LLWEAPONEX_Grimoire_Spark_Immolate	Immolation
Stats_LLWEAPONEX_Grimoire_Swap_Active	<font color='#73f6ff'>Gatekeeper's Codex</font> (Activated)
Stats_LLWEAPONEX_Grimoire_SwapSurge	Translocation Surge
Stats_LLWEAPONEX_Grimoire_Wind_Active	<font color='#00FF7F'>Whispersong</font> (Activated)
Stats_LLWEAPONEX_Grimoire_Spark_Equipped	Eternal Spark
