Projectile_LLWEAPONEX_RemoteMine_Explosion_DisplayName	Detonated Remote Charge
Projectile_LLWEAPONEX_RemoteMine_Throw_Breach_Description	Stealthily throw the breach charge at a target position.<br><font color='#ff5a11'>Detonating this charge deals [1] in a [2] radius, breaking locks up to level 10.</font>
Projectile_LLWEAPONEX_RemoteMine_Throw_Breach_DisplayName	Throw Breach Charge
Projectile_LLWEAPONEX_RemoteMine_Throw_Displacement_Description	Stealthily throw the displacement charge at a target position.<br><font color='#ff5a11'>Detonating this charge randomly teleports objects within [1] to another displacement charge within 12m.</font>
Projectile_LLWEAPONEX_RemoteMine_Throw_Displacement_DisplayName	Throw Displacement Charge
Projectile_LLWEAPONEX_RemoteMine_Throw_DisplayName	Throw Remote Charge
Projectile_LLWEAPONEX_RemoteMine_Throw_Explosive_Description	Stealthily throw the remote charge at a target position.<br><font color='#ff5a11'>Detonating this charge deals [1] in a [2] radius.</font>
Projectile_LLWEAPONEX_RemoteMine_Throw_Explosive_DisplayName	Throw Remote Charge
Projectile_LLWEAPONEX_RemoteMine_Throw_PoisonCloud_Description	Stealthily throw the poison gas charge at a target position.<br><font color='#ff5a11'>Detonating this charge deals [1] in a [2] radius and creates a poison cloud.</font>
Projectile_LLWEAPONEX_RemoteMine_Throw_PoisonCloud_DisplayName	Throw Poison Gas Charge
Projectile_LLWEAPONEX_RemoteMine_Throw_Shrapnel_Description	Stealthily throw the shrapnel charge at a target position.<br><font color='#ff5a11'>Detonating this charge deals [1] in a [2] radius and applies Bleeding for 2 turns.</font>
Projectile_LLWEAPONEX_RemoteMine_Throw_Shrapnel_DisplayName	Throw Shrapnel Charge
Projectile_LLWEAPONEX_RemoteMine_Throw_Tar_Description	Stealthily throw the tar charge at a target position.<br><font color='#ff5a11'>Detonating this charge deals [1] in a [2] radius, creates an oil surface, and applies Tarred for 2 turns.</font>
Projectile_LLWEAPONEX_RemoteMine_Throw_Tar_DisplayName	Throw Tar Charge
Shout_LLWEAPONEX_RemoteMine_Add_Description	Retrieve an explosive remote charge from the <font color='#C7A758'>Demolitionist's Backpack</font>.
Shout_LLWEAPONEX_RemoteMine_Add_DisplayName	Retrieve Remote Charge
Target_LLWEAPONEX_RemoteMine_Detonate_Description	Detonate a remote charge. Can target mines in the world, or an object holding a mine.
Target_LLWEAPONEX_RemoteMine_Detonate_DisplayName	Detonate Remote Charge
